Question,Answer,Source
Is enrolment in the Medical Services Plan (MSP) mandatory?,"Yes, enrolment in MSP is mandatory for all eligible residents and their dependents under the Medicare Protection Act.",https://www2.gov.bc.ca/gov/content/health/health-drug-coverage/msp 
Who qualifies for MSP coverage?,"A B.C. resident who is a Canadian citizen or lawfully admitted to Canada for permanent residence, makes their home in B.C., and is physically present in B.C. for at least six months in a calendar year.",https://www2.gov.bc.ca/gov/content/health/health-drug-coverage/msp 
Can I keep MSP coverage if I leave B.C. temporarily?,"Yes, eligible B.C. residents can be absent for vacation purposes for up to seven months in a calendar year while maintaining MSP coverage.",https://www2.gov.bc.ca/gov/content/health/health-drug-coverage/msp 
Who is considered a dependent under MSP?,"Dependents include a spouse, children, and dependent post-secondary students who are B.C. residents.",https://www2.gov.bc.ca/gov/content/health/health-drug-coverage/msp 
What qualifies a student as a dependent for MSP coverage?,"The student must be between 18 and 25 years old, in full-time attendance at a recognized post-secondary institution, and supported by a parent or guardian who is an MSP beneficiary.",https://www2.gov.bc.ca/gov/content/health/health-drug-coverage/msp 
Can spouses and children of eligible residents apply for MSP without permanent residence?,"Yes, if an application for permanent residence has been submitted to IRCC and all required fees are paid, they may be deemed residents for MSP.",https://www2.gov.bc.ca/gov/content/health/health-drug-coverage/msp 
Are international students or temporary workers eligible for MSP?,"Some holders of Study or Work Permits valid for six or more months, including Working Holiday Program participants, may be eligible.",https://www2.gov.bc.ca/gov/content/health/health-drug-coverage/msp 
How can I check my MSP eligibility?,Contact Health Insurance BC at 1-604-683-7151 (Lower Mainland) or 1-800-663-7100 (elsewhere in B.C.).,https://www2.gov.bc.ca/gov/content/health/health-drug-coverage/msp 
How do I apply for MSP?,"You can apply online, in person, or by submitting a paper form through the B.C. Application for Health and Drug Coverage.",https://www2.gov.bc.ca/gov/content/health/health-drug-coverage/msp 
What health programs can I apply for with the BC Application for Health and Drug Coverage?,"You can apply for MSP, Fair PharmaCare, and Supplementary Benefits using one form.",https://www2.gov.bc.ca/gov/content/health/health-drug-coverage/msp 
When should I apply for MSP if I am new to Canada?,"Apply as soon as you arrive in B.C., as coverage may start three months after your arrival date. Private health insurance is recommended during the wait period.",https://www2.gov.bc.ca/gov/content/health/health-drug-coverage/msp 
What should I do if I am moving to B.C. from another province?,"Maintain coverage with your previous province’s medical plan during the wait period, then apply for MSP once you arrive.",https://www2.gov.bc.ca/gov/content/health/health-drug-coverage/msp 
What is the MSP coverage wait period for new residents?,It consists of the remainder of the month residency is established plus two additional months.,https://www2.gov.bc.ca/gov/content/health/health-drug-coverage/msp 
How do I apply for MSP if my coverage is through an employer group plan?,Contact your group administrator for information on applying under a group plan.,https://www2.gov.bc.ca/gov/content/health/health-drug-coverage/msp 
What should I do if I receive a letter to renew my B.C. Services Card?,Follow the instructions on the letter to renew your card; you do not need to submit a new MSP enrolment application.,https://www2.gov.bc.ca/gov/content/health/health-drug-coverage/msp 
How do I complete MSP enrolment and obtain a B.C. Services Card?,"Most adults 18 years and six months or older must visit an ICBC driver licensing office with ID, declare B.C. residency, and have their photo taken.",https://www2.gov.bc.ca/gov/content/health/health-drug-coverage/msp 
Where can I book an appointment to obtain a B.C. Services Card?,You can book an appointment at an ICBC driver licensing office via icbc.com/appointment. Walk-in services are also available.,https://www2.gov.bc.ca/gov/content/health/health-drug-coverage/msp 
What is the B.C. Services Card used for?,"It provides access to provincial health care benefits, and your Personal Health Number (PHN) is printed on the card.",https://www2.gov.bc.ca/gov/content/health/health-drug-coverage/msp 
Do children and temporary document holders need a photo B.C. Services Card?,"No, they will automatically receive a Non-Photo B.C. Services Card in the mail from Health Insurance BC.",https://www2.gov.bc.ca/gov/content/health/health-drug-coverage/msp 
Where can I find more information about the B.C. Services Card?,Visit gov.bc.ca/bcservicescard for details.,https://www2.gov.bc.ca/gov/content/health/health-drug-coverage/msp 
How do I apply for MSP online?,Apply at https://www2.gov.bc.ca/gov/content/health/health-drug-coverage/ahdc.,https://www2.gov.bc.ca/gov/content/health/health-drug-coverage/msp 
How do I apply for MSP in person?,Visit a Service BC office; locations are listed at https://www2.gov.bc.ca/gov/content/governments/organizational-structure/ministries-organizations/ministries/citizens-services/servicebc.,https://www2.gov.bc.ca/gov/content/health/health-drug-coverage/msp 
How do I submit a paper application for MSP?,Download the form at https://www2.gov.bc.ca/gov/content/health/health-drug-coverage/ahdc and submit it as instructed.,https://www2.gov.bc.ca/gov/content/health/health-drug-coverage/msp 
What happens after I enrol in MSP?,Your applications for Supplementary Benefits and Fair PharmaCare will be processed.,https://www2.gov.bc.ca/gov/content/health/health-drug-coverage/msp 
What is MSP (Medical Services Plan)?,"MSP is the provincial insurance program in B.C. that pays for medically required services provided by physicians, surgeons, and midwives, as well as some diagnostic services.",https://www2.gov.bc.ca/gov/content/health/health-drug-coverage/msp 
Is enrolment in MSP mandatory for B.C. residents?,"Yes, all B.C. residents are required by law to enrol in MSP.",https://www2.gov.bc.ca/gov/content/health/health-drug-coverage/msp 
What services does MSP cover?,"MSP covers medically required services by physicians and midwives, hospital dental and oral surgery, diagnostic services like x-rays, and medically required eye exams for certain age groups.",https://www2.gov.bc.ca/gov/content/health/health-drug-coverage/msp 
What dental services are covered by MSP?,MSP covers dental and oral surgery only if it is medically required to be performed in a hospital.,https://www2.gov.bc.ca/gov/content/health/health-drug-coverage/msp 
Are wisdom tooth removals covered by MSP?,MSP only covers the surgical removal of impacted wisdom teeth if hospitalization is medically required due to extreme complexity and associated pathology.,https://www2.gov.bc.ca/gov/content/health/health-drug-coverage/msp 
What eye care services are covered by MSP?,MSP covers medically required eye examinations for adults aged 19-64 and annual eye exams for children 0-18 and seniors 65+.,https://www2.gov.bc.ca/gov/content/health/health-drug-coverage/msp 
What services are not covered by MSP?,"MSP does not cover routine eye exams (ages 19-64), cosmetic surgery, eyeglasses, hearing aids, prescription drugs, most dental services, physiotherapy, massage therapy, and services for employment, immigration, or school requirements.",https://www2.gov.bc.ca/gov/content/health/health-drug-coverage/msp 
