question,answer
What are BC’s statutory holidays?,"Statutory holidays are public holidays that consist of a variety of cultural, nationalistic, and religious holidays that are legislated at the national or provincial level. In BC, there are ten statutory holidays. These include: New Year’s Day, Good Friday, Canada Day, Labour Day, Christmas Day, Family Day, Victoria Day, B.C. Day, Thanksgiving Day and Remembrance Day. Employers are bound by the Employment Law to provide their employees with statutory holiday pay. You may ask your employer or visit the Government of British Columbia website for more detailed information. There are a wild range of events and activities hosted by governments, public and private employers during these holidays. You may visit your municipality’s website for details. There are also many events and activities to celebrate a variety of ethnic holidays in your community. Some public or private employers might also have their policy to celebrate ethnic holidays and provide additional pay leave to eligible employees. Consult your employers for details. For more information: Government of British Columbia: Statutory Holidays in British Columbia – 2024 and 2025 Government of British Columbia: Statutory Holidays in British Columbia – 2024 and 2025  Affiliation of Multicultural Societies and Service Agencies of BC (AMSSA): Multi-faith Calendar Affiliation of Multicultural Societies and Service Agencies of BC (AMSSA): Multi-faith Calendar"
Where can I find information about arts and cultural events?,"You can visit theDestination British Columbiawebsite, which has information about art galleries, museums and heritage sites across British Columbia. The British Columbia Arts Council also publishes a searchable calendar of arts and cultural events in communities across British Columbia. Some places and events will cost money, but they may be free or give a discount on certain days. Some communities have their own special events, such as festivals and fairs. These are often free and give you a chance to learn about your community. You can get information at public libraries, tourist information offices, arts councils, and municipal park boards. Destination British Columbia For more information: Government of British Columbia: Arts and Culture Government of British Columbia: Arts and Culture Destination British Columbia: Things to Do – Arts & Heritage Destination British Columbia: Things to Do – Arts & Heritage NewToBC FaceBook NewToBC FaceBook"
What is a public library and how can I find one?,"Public libraries have books, magazines, CDs, DVDs, eBooks and more for people of all ages. Some resources can be found in different languages. Many public libraries have services for people with disabilities, such as talking books. They have activities for children, workshops for adults, and computers that you can use to find information or send emails. Library staff can also help you find information on almost any topic. Public libraries are free to use, but you need a library card to borrow books or other items. There are 71 public libraries across British Columbia. Most communities with large populations have a good number of library branches to provide easy access to library services for local residents. For more information: NewToBC: Library Information NewToBC: Library Information Government of British Columbia: Public Libraries Government of British Columbia: Public Libraries"
What is a community centre and how can I find one?,"Most cities and towns in British Columbia have community centres. Community centres usually have swimming pools, ice rinks, tennis courts and playgrounds. They also offer classes in arts and crafts, dancing, physical fitness, computers and English as a Second Language (ESL). Each season, they publish a flyer (special newspaper) with a list of programs and their costs. To find a community centre in your community, contact your local parks and recreation board or recreation commission, or visit your municipality’s website. For more information: CivicInfoBC: List of Municipalities CivicInfoBC: List of Municipalities"
What is a municipal park and how can I find one?,"Municipal parks are found in cities and towns. They often have a sports field for baseball and soccer, a playground for children, and places for a picnic. For information on municipal parks, you should contact your local municipal parks board. For more information: CivicInfoBC: List of Municipalities CivicInfoBC: List of Municipalities"
What is a provincial or national park and how can I find one?,"British Columbia has more than 1,000 provincial parks and protected areas, and 7 national parks. Many of these parks are large and have beautiful forests, rivers, mountains and lakes. You can visit provincial and national parks for hiking, camping, skiing, boating and fishing. For more information: Government of British Columbia: BC Parks Government of British Columbia: BC Parks Destination British Columbia: Parks and Wildlife Destination British Columbia: Parks and Wildlife Government of Canada: National Parks of Canada Government of Canada: National Parks of Canada"
What sports and outdoor activities are popular in BC?,"Many British Columbians enjoy sports and outdoor activities, such as running, in-line skating, swimming, golf, tennis, yoga, skiing, snowboarding, boating, cycling, hiking and camping. Team sports, such as hockey, baseball, basketball, soccer and curling, are also popular. Students play sports at school, and community centres have many low-cost sports programs. There are also several private sports clubs that offer programs for a fee. For more information: Government of British Columbia: Sports and Recreation Government of British Columbia: Sports and Recreation Destination British Columbia: Outdoor Activities Destination British Columbia: Outdoor Activities Destination British Columbia: Winter Activities Destination British Columbia: Winter Activities Government of British Columbia: Recreation Sites & Trails Government of British Columbia: Recreation Sites & Trails"
How can I pay for my purchases?,"Most stores accept one or more of the following payment types: cash, debit (bank) cards, credit cards, and store credit cards. Look for signs at the entrance or cash register to find out what forms of payment they accept. For more information: WelcomeBC: Managing Your Money WelcomeBC: Managing Your Money"
What should I know about online shopping?,"Many people buy goods on the Internet in British Columbia. However, since you will need to provide your personal and credit card information, you should check that the website is legitimate and your information will be protected. Read website policies of online retailers. When shopping on social networking sites, see if the vendors are verified and read reviews from buyers. Use websites that start with HTTPS and create unique and strong passphrases for each online account. For more information: Government of Canada: How to Shop Online Safely Government of Canada: How to Shop Online Safely Consumer Protection BC: Shopping & Contracts Consumer Protection BC: Shopping & Contracts"
Can I bargain or barter when making purchases?,"In British Columbia, the prices marked in stores are usually fixed. People do not bargain for a lower price in stores that sell new products. If you do not like the price of the item, you can ask the store clerk if the product will go on sale in the near future. Second-hand and consignment stores sell used clothing, furniture and other household items, usually very cheaply. Sometimes you can bargain to bring down the price. It is also common to bargain when buying a vehicle or home."
What is second-hand shopping?,"Second-hand goods (also known as used goods or pre-owned goods) shopping is very common in Canada. The most common places for you to find second-hand goods are: pre-owned car dealers, Thrift Stores, Value Village, Craigslist and Facebook Marketplace (online), swap meets, flea markets, yard / garage sales (usually over the summer), etc. At some places, you may bargain for a better deal, e.g. at pre-owned car dealers, yard/garage sales and on Craigslist. Some second-hand goods stores (i.e. Value Village) accept donations of well-kept used items for resale at their places."
How much do I need to tip?,"A tip is extra money you pay to reward the person serving you for their good work and courteous service. The standard amount for a tip is usually 15% – 20% of the bill. This is often done in restaurants, bars, hotels, taxis, salons and certain other situations. For more information: Consumer Protection BC: Leaving a Tip Consumer Protection BC: Leaving a Tip Intuit Quickbooks: Tipping in Canada – A Restaurant Guide Intuit Quickbooks: Tipping in Canada – A Restaurant Guide"
What is the Goods and Services Tax (GST)?,"In Canada, you must pay a federal sales tax of 5%, called the Goods and Services Tax (GST), on many goods and services that you buy. This tax is not included in the price and will often be added when you pay. For more information: Canada Revenue Agency: General Information for GST / HST Registrants Canada Revenue Agency: General Information for GST / HST Registrants"
What is the Provincial Sales Tax (PST)?,"In British Columbia, you must also pay a provincial sales tax of 7%, called the Provincial Sales Tax (PST), on many goods and services that you buy. In some cases, the amount may be higher than 7%. This tax is not included in the price and will often be added when you pay. You don’t need to pay PST in some cases, e.g. food, books and newspapers, etc. Most PST exemptions are available to everyone, and you don’t need to apply. Some exemptions are available in certain circumstances and may require documentation. For example, adult-sized clothing and footwear for kids under 15 years of age, and school supplies for students. You will have to advise the casher to get the exemptions in those cases. For more information: Government of BC: Provincial Sales Tax Government of BC: Provincial Sales Tax Government of BC: PST Exemptions Government of BC: PST Exemptions"
How can I return a product or get a refund?,"Most retailers in BC have return and refund policies to protect consumers and maintain good customer relations. Depending on the retailer’s policy, you may exchange an item, or return it and get a refund. However, there is no law in BC that says all sellers have to provide returns or refunds. Also, sellers often have different return or refund policies, and these policies may change during promotions and for items that are on sale. You should ask about the return and refund policies before you buy. Return or refund policies are often stated on the back of the receipt. You should keep the receipt and present it to the retailer when you exchange or return the item. For more information: Government of Canada: Office of Consumer Affairs Government of Canada: Office of Consumer Affairs Consumer Protection BC: The scoop on refunds, returns, and exchanges Consumer Protection BC: The scoop on refunds, returns, and exchanges"
How do I make a long distance phone call?,"To make a local phone call, you will have to dial 10 numbers – area code + phone number (e.g. 604-555-6363). To make a long distance phone call within Canada or the United States, you will have to dial 11 numbers – 1 + area code + phone number (e.g. 1-250-555-6363). To call overseas, you will have to dial 011 + area code + phone number."
What is a toll-free number?,"A toll-free number is a special phone number that is free for the person making the call. The company you call pays for the cost of the phone call. Toll-free numbers are usually called “1 800 numbers”. Toll-free numbers in Canada start with the following area codes: 1-800, 1-866, 1-877 or 1-888."
What are service codes?,"In North America, N11 codes are used to provide three-digit dialling access to special services. For example, 9-1-1 provides direct access to emergency services in British Columbia, including ambulance, fire and police. The number can be dialled for free from any phone. For more information: Canadian Numbering Administrator: N11 Codes Canadian Numbering Administrator: N11 Codes"
What are the YellowPages?,"The YellowPages is a directory of business phone numbers, organized alphabetically by category (e.g. restaurants, movers) instead of alphabetically by business name. For more information: YellowPages YellowPages"
How do I send a letter or package?,"You can send mail from a regular post office or a small post office in a store. If your letter has a stamp, you can also put it in any red Canada Post mailbox on the street or in the “outgoing” slot of a community mailbox. All addresses for Canada must have a postal code. If you do not know the postal code for an address, you can look it up in a book at any post office or on the Canada Post website. The cost of mailing a letter will depend on the size, weight and where it is going. You can check the rates at any post office or on the Canada Post website. If you need to have your mail delivered quickly, you can use Canada Post or a private courier company. For more information: Canada Post Canada Post YellowPages: Courier Services in British Columbia YellowPages: Courier Services in British Columbia"
What services are available for immigrants and refugees?,"There are many settlement agencies that help immigrants and refugees settle in British Columbia. Many organizations are funded by the government and provide free services. They are excellent sources of information and advice on living in Canada. They have settlement workers who can provide you with help in many areas, such as searching for employment, finding housing, registering for free language training, finding special programs for children, youth, families, women, LGBTQ+ and seniors, and helping you with any problems you might have. For more information: Immigration, Refugees and Citizenship Canada: Find Free Newcomer Services Near You Immigration, Refugees and Citizenship Canada: Find Free Newcomer Services Near You NewToBC: Settlement Information for Newcomers NewToBC: Settlement Information for Newcomers Welcome BC: Settlement Services Welcome BC: Settlement Services"
What is bc211?,"bc211 is a non-profit organization that provides information and referrals to community, government, and social services in British Columbia. It is free, confidential, and available in over 240 languages and dialects, 24 hours a day, 7 days a week. Dial or text 2-1-1 anytime or search the online directory. . For more information: bc211 bc211"
What is an emergency shelter and how can I find one?,"If you need to leave your home because of an emergency or because you are worried about your safety, you may need to find an emergency shelter. Emergency shelters help people who don’t have a home and can provide a temporary bed, food and access to other supports. You should contact your local settlement agency or BC Housing and they can help you find a place to stay. You can call or text 2-1-1 to find available shelter beds and services in the Mainland / Southwest regions of BC and Victoria. For more information: BC Housing: Emergency Shelter Program BC Housing: Emergency Shelter Program bc211: Shelter Lists bc211: Shelter Lists"
