Question,Answer
"I’m an international student in Canada. Can I work while studying?(""https://ircc.canada.ca/english/helpcentre/answer.asp?qnum=495&top=15"")","You may be eligible to work in Canada while studying, if your study permit includes a condition that says you can work on or off campus. You must also meet all the other requirements. You can only start working in Canada when you start your study program. You can’t work before your studies begin.

However work as a co-op Student or intern: You will need to get a work permit if your study program includes a required co-op or internship placement. Find out how to apply for a co-op work permit(""https://www.canada.ca/en/immigration-refugees-citizenship/services/study-canada/work/intern.html"").

And for Work after you graduate: You may also be able to apply for a post-graduation work permit (PGWP) to continue working in Canada after you graduate. Find out if you’re eligible for a PGWP(""https://www.canada.ca/en/immigration-refugees-citizenship/services/study-canada/work/after-graduation/eligibility.html"")."
"As an international student, can I work in Canada without a work permit?","Yes. You have to respect the conditions associated with your situation.

If you have a study permit and are enrolled full-time in a designated learning institution (DLI)
You may work on campus without a work permit if you have a study permit and are enrolled full-time in a designated learning institution(""https://www.canada.ca/en/immigration-refugees-citizenship/services/study-canada/study-permit/prepare/designated-learning-institutions-list.html"").
If you have a study permit and are enrolled full-time in an academic, professional or vocational training program at a DLI
You may work off(""https://www.canada.ca/en/immigration-refugees-citizenship/services/study-canada/work/work-off-campus.html"") campus without a work permit if your study permit says that you can work off campus. In most cases, you’re allowed to work
for up to 24 hours while class is in session
unlimited hours during scheduled breaks
Learn more about off campus work hours.(""https://ircc.canada.ca/english/helpcentre/answer.asp?qnum=503&top=15"")
If you want to take part in a co-op or internship program
You must have the appropriate work permit to take part in a co-op or internship program.
If you want to work after your studies
You may apply for a post-graduation work permit (PGWP)(""https://www.canada.ca/en/immigration-refugees-citizenship/services/study-canada/work/after-graduation.html"") to work in Canada after your studies. If you’re not eligible for a PGWP, you may still be able to work in Canada after you graduate."
"I’m an international student. Can I work before my study program starts?(""https://ircc.canada.ca/english/helpcentre/answer.asp?qnum=1471&top=15"")","No. If you’re eligible to work on or off campus while studying in Canada, you can only start working once your study program starts.
Make sure you meet all the requirements for working on campus or off campus, before you start working. If you want to work before you start your studies, you must apply for a work permit(""https://www.canada.ca/en/immigration-refugees-citizenship/services/work-canada/permit/temporary/eligibility.html"")."
"I’m an international student. Can I continue to work after I’ve finished my study program?(""https://ircc.canada.ca/english/helpcentre/answer.asp?qnum=1472&top=15"")","Generally, no. You must stop working once you’ve received one of the following:
your official letter of completion
your transcript
an email from your institution telling you that you have completed your program
You can only continue to work after you finished your studies if either
you applied for a work permit before your study permit expired, or
you’re starting a new study program
Find out more about working after you complete your study program(""https://www.canada.ca/en/immigration-refugees-citizenship/services/study-canada/work/work-off-campus.html#after"")."
"Can I have a work permit and study permit at the same time?(""https://ircc.canada.ca/english/helpcentre/answer.asp?qnum=1618&top=15"")","Yes. You can apply for an additional permit. However, you must
be eligible for both permits
show the officer that you can study and work at the same time
When you apply, include a letter to explain how you’ll do this. Give details about how you’ll balance your work schedule with your studies. If you apply online, upload this letter in the Client information part of your document checklist.
Workers who can study without a study permit
You may be eligible to study without a study permit if you are in either of the following situations:
You have a valid work permit that was issued on or before June 7, 2023.
You must have been issued a letter(""https://www.canada.ca/en/immigration-refugees-citizenship/services/work-canada/permit/temporary/extend/after-apply.html#online"") on or before June 7, 2023, authorizing you to work while we process your work permit application.
You can use this letter if you’re waiting for a decision on your work permit extension.
There are some things to know about holding 2 permits:
The work experience you gain while you hold a study permit doesn’t count toward the work experience requirements for most permanent residence programs(""https://www.canada.ca/en/immigration-refugees-citizenship/services/immigrate-canada.html"").
Check the requirements for your program before you apply for permanent residence.
If you plan to apply for a post-graduation work permit when you complete your studies, you’ll need to meet the eligibility criteria(""https://www.canada.ca/en/immigration-refugees-citizenship/services/study-canada/work/after-graduation/eligibility.html#eligibility"").
For example, you must maintain full-time status during all semesters of your study program, even while working."
"As an international student, can I take part in co-op and internship programs?(""https://ircc.canada.ca/english/helpcentre/answer.asp?qnum=497&top=15"")","If you are in an academic, professional or vocational training program at a designated learning institution(""https://ircc.canada.ca/english/helpcentre/glossary.asp#designated_learning_institution"") that requires work experience, such as a co-op or internship placement, you will need a work permit as well as a study permit.
To get a work permit, you must prove that the work experience is essential to completing your program. Acceptable proof could include a letter from the school you are attending or a copy of the school curriculum.
The work experience cannot be more than 50% of your total program of study.
If you are studying English or French as a second language (ESL/FSL), or participating in general interest or preparatory courses, you are not eligible for a co-op work permit.
For more information, see Work permits for students - Co-op and internship programs(""https://www.canada.ca/en/immigration-refugees-citizenship/services/study-canada/work/intern.html"")."
"There’s a specific employment location on my co-op or post-graduation work permit. Can I work somewhere else?(""https://ircc.canada.ca/english/helpcentre/answer.asp?qnum=1414&top=15"")","It depends on where the employment location information is on your work permit.
If the location is under Additional Information
You can work in any location across Canada. You don’t need to apply to change your work permit. If you have a co-op work permit, your work must be required to complete your study program.
If the location is under Conditions or Remarks/Observations
You must work at the location on your permit. You must apply to change the conditions of your work permit if you want to work in a different location. To do this, you’ll need to apply for a new work permit from within Canada(""https://www.canada.ca/en/immigration-refugees-citizenship/services/work-canada/permit/temporary/apply.html""). Select “Inside Canada” to find out how you can apply for your new permit. Include a letter explaining why you need the condition removed from your work permit with your application."
"There’s a specific occupation on my co-op or post-graduation work permit. Can I work in a different field?(""https://ircc.canada.ca/english/helpcentre/answer.asp?qnum=1415&top=15"")","It depends on where the occupation information is on your work permit.
If the occupation is under Additional Information
You can work in any field. You don’t need to apply to change your work permit. If you have a co-op work permit, your work must be required to complete your study program.
If the occupation is under Conditions or Remarks/Observations
You must work in the field listed on your permit. You must apply to change the conditions of your work permit if you want to work in a different occupation. To do this, you’ll need to apply for a new work permit from within Canada(""https://www.canada.ca/en/immigration-refugees-citizenship/services/work-canada/permit/temporary/apply.html""). Select “Inside Canada” to find out how you can apply for your new permit. Include a letter explaining why you need the condition removed from your work permit with your application."
"My co-op work permit says “not authorized to work for any employer other than stated”. What does it mean?(""https://ircc.canada.ca/english/helpcentre/answer.asp?qnum=1473&top=15"")","As a co-op student, your co-op work permit might say:
you’re “not authorized to work for any employer other than stated”
your school is your employer
This is to identify you as a co-op student. It means you can work for any employer that’s accepted by your school’s co-op program.
If the condition on your work permit is causing problems for you with your employer, you may apply to remove the condition.
To do this, you must apply for a new work permit(""https://www.canada.ca/en/immigration-refugees-citizenship/services/study-canada/work/intern.html"").
Include a letter explaining why you need the condition removed from your work permit (that is, it’s causing problems with your employer) with your application.
There is no fee for this.
If you change schools and stay in a co-op program, you must apply for a new work permit(""https://www.canada.ca/en/immigration-refugees-citizenship/services/study-canada/work/intern.html""). This means your new co-op work permit will say your new school is your employer.
You won’t need to pay another application fee to change your co-op work permit conditions or for the new co-op work permit."
"Can I continue to work during scheduled school breaks?(""https://ircc.canada.ca/english/helpcentre/answer.asp?qnum=499&top=15"")","Generally, yes. Your study permit must still be valid and you must still meet all the requirements.
If you work off campus
You can work full-time during scheduled breaks, like over summer holidays and during spring break. You must meet all the requirements for working off campus(""https://www.canada.ca/en/immigration-refugees-citizenship/services/study-canada/work/work-off-campus.html"") before you start working. Once your school year restarts, you can only work a maximum of 24 hours per week.
If you work on-campus
You can work full-time during scheduled breaks, like over summer holidays and during spring break. You must meet all the requirements for working on-campus(""https://www.canada.ca/en/immigration-refugees-citizenship/services/study-canada/work/work-on-campus.html"") before you start working."
