Theme,Source,Content
International Students Resources,*** Source: https://www.welcomebc.ca/study-in-b-c/resources-for-international-students#School ****,"Resources for international students
Last reviewed: March 12, 2024 
Topics on this page 
Through your school
Post-secondary students
Elementary and high school students
Learning English
Continuing education
Resources available through your school
Many post-secondary institutions have international student centres or student advisory offices. Your school may be able to help if you are experiencing challenges related to:
finding suitable accommodation
financial aid
learning about your ability to work on/off campus
building connections with other students & making friends
BC Settlement and Integration Services (BCSIS) Program
If services are not available through your own school, a local settlement service provider may be able to assist you. To learn more about what services may be available to you, contact your local BCSIS service provider."
International Students Resources,*** Source: https://www.welcomebc.ca/study-in-b-c/resources-for-international-students#School ****,"Resources for post-secondary students
Education in British Columbia
EducationPlannerBC
Canadian Information Centre for International Credentials
LearnLiveBC
Employment Standards & Workplace Safety
Work as a student
Help your spouse or common-law partner work in Canada
Extending your study permit
Post-graduation work permits (PGWP)
BC Provincial Nominee Program (BC PNP)
IRCC’s Express Entry
An Educational Credential Assessment (ECA) is an independent assessment of your foreign degree, diploma, certificate, or other credential. Visit the IRCC website for ECA requirements and designated agencies."
International Students Resources,*** Source: https://www.welcomebc.ca/study-in-b-c/resources-for-international-students#School ****,"Resources for elementary and high school students
International students of all ages choose to study in British Columbia for many reasons, including top quality, wide-ranging education opportunities at all levels. For more information about studying in B.C., including homestays, visit the BC Government or the B.C. For High School websites."
International Students Resources,*** Source: https://www.welcomebc.ca/study-in-b-c/resources-for-international-students#School ****,B.C. Early years and preschool programs help children from three to five years old prepare for elementary school.
International Students Resources,*** Source: https://www.welcomebc.ca/study-in-b-c/resources-for-international-students#School ****,Visit the Daily Life page for more information about early years and Kindergarten to Grade 12 education.
International Students Resources,*** Source: https://www.welcomebc.ca/study-in-b-c/resources-for-international-students#School ****,"Resources for learning English
Good English language skills will help you in your school studies, work, and daily activities in B.C. For more information on learning English, visit the Start Your Life section."
International Students Resources,*** Source: https://www.welcomebc.ca/study-in-b-c/resources-for-international-students#School ****,"Continuing education and adult basic education
For more information on continuing education for adults and adult basic education, visit the Start Your Life in B.C. section."
International Students Resources,*** Source: https://www.welcomebc.ca/start-your-life-in-b-c/settlement-services ****,"Pre-arrival services can help you to:
prepare for your move to Canada
get your education, work experience and credentials recognized in Canada
connect with employers to find a job
connect with free services after you arrive in Canada
Learn more about pre-arrival services from Immigration, Refugees, and Citizenship Canada (IRCC)."
International Students Resources,*** Source: https://www.welcomebc.ca/start-your-life-in-b-c/settlement-services ****,"Eligible clients include:
Temporary workers with a valid work permit
International post-secondary students (if services are not offered at their educational institution)
Provincial Nominees awaiting a decision on their application for permanent residence
Naturalized Canadian citizens
Displaced Ukrainians and their immediate family members with valid CUAET visas 
Some refugee claimants (More support is available through the BC SAF HAVN program)
The types of services vary by organization, but often include:
One-on-one information and referral
Workshops and support groups
Peer support and mentoring
Find a settlement service agency near you that supports temporary residents and naturalized Canadian citizens."
International Students Resources,*** Source: https://learnlivebc.ca/learn/about-education-in-british-columbia ****,"About education in British Columbia
British Columbia is one of the world's most popular destinations for international students because of our world-renowned education and transfer system."
International Students Resources,*** Source: https://learnlivebc.ca/learn/about-education-in-british-columbia ****,"About education in B.C.
B.C.'s educational system is among the most respected in the world."
International Students Resources,*** Source: https://learnlivebc.ca/learn/about-education-in-british-columbia ****,"B.C. is also home to a world-acclaimed transfer system, which means you can move easily from one qualification level to the next and from one post-secondary institution to another. This gives you the flexibility to choose the study path that best suits your educational goals."
International Students Resources,*** Source: https://learnlivebc.ca/learn/about-education-in-british-columbia ****,"Post-secondary international students can transfer between programs of study and institutions without applying for changes to their study permits. For more information about transferring between institutions in British Columbia, visit the British Columbia Council on Admissions and Transfer (BCCAT) website."
International Students Resources,*** Source: https://learnlivebc.ca/learn/about-education-in-british-columbia ****,"In B.C., children between the ages of 5 and 18 attend Kindergarten to Grade 12 programs at either an elementary or secondary school. Parents can choose to enrol their child in either a public or independent school that offers these programs - there are approximately 350 independent schools and about 1600 public schools."
International Students Resources,*** Source: https://learnlivebc.ca/learn/about-education-in-british-columbia ****,Many schools provide support services for students whose first language is not English. There are both short- and long-term program options.
International Students Resources,*** Source: https://learnlivebc.ca/learn/about-education-in-british-columbia ****,"Post-secondary institutions
B.C. is the first province in Canada to provide students with a globally recognized seal of quality for post-secondary education - the Education Quality Assurance (EQA) designation."
International Students Resources,*** Source: https://learnlivebc.ca/learn/about-education-in-british-columbia ****,Find out more about Education Quality Assurance.
International Students Resources,*** Source: https://learnlivebc.ca/learn/about-education-in-british-columbia ****,"Casinoer med dansk licens har et stort udvalg af spil. casino24dk.com online casinoer med dansk licens er populære.
Universities
Teaching and research universities offer undergraduate and graduate degree programs at both the Masters and PhD levels. Some also offer diplomas and certificates in professional fields, as well as continuing education programs."
International Students Resources,*** Source: https://learnlivebc.ca/learn/about-education-in-british-columbia ****,"Ensuring institutions meet the requirements and standards for certification, and;
Providing student protection and overseeing the Student Tuition Protection Fund.
PTIB also maintains a Private Training Institution Directory of all certified institutions and the programs they provide, along with formerly certified institutions."
International Students Resources,*** Source: https://learnlivebc.ca/learn/about-education-in-british-columbia ****,Search CoursesBC to explore online courses offered by B.C.'s post-secondary schools.
International Students Resources,*** Source: https://www.welcomebc.ca/work-in-b-c/finding-work-in-b-c ****,"What you need to work in B.C.
In addition to your Social Insurance Number and work permit (if required), here are some other items that you may need to get a job in B.C.:
A résume
Work references
Education and professional credentials (translated into English if the originals are in another language)
Professional certification from a B.C. regulatory authority
Some items can only be completed once you are in B.C., but many can be prepared before you arrive. The more you have done before you arrive, the more likely you are to get a job in your field."
International Students Resources,*** Source: https://www.welcomebc.ca/work-in-b-c/finding-work-in-b-c ****,"Resumés
Many companies ask for a resumé and cover letter when you apply for a job. A resumé describes your work experience and education. It says when you had a job and what you did. A cover letter is a short letter to the employer. You should write why you want the job and why you will be good at it. The cover letter is very important. It lets the employer know you better. It also shows how well you communicate. Find out how the company would like to receive your resumé and cover letter – by email, through a website, or printed on paper.
Go to WorkBC’s website to learn how to write your resumé and cover letter.
WorkBC Centres also offer free workshops. Visit the website to find a centre near you. 
The job search section of Canada’s Job Bank has information about writing a resumé.
References
Before you start looking for a job, find some references. References are people who know you and can recommend you for a job. Employers may contact your references to ask about your qualifications. You will need to give their names and contact information (phone number and email address) when you apply for a job. Ask former employers and landlords if they can be your reference."
International Students Resources,*** Source: https://www.welcomebc.ca/work-in-b-c/finding-work-in-b-c ****,"Criminal record checks
Some employers may ask for a criminal record check. A criminal record check is an official report from the police. It shows if you have been convicted (found guilty) of a criminal act (breaking the law). If you have a criminal record, you can still find work. However, some employers will not hire people with criminal records – for example, schools and child care companies."
International Students Resources,*** Source: https://www.welcomebc.ca/work-in-b-c/finding-work-in-b-c ****,"The employer will ask questions about your education, skills, and work experience. They might ask things like:
Why do you want to work here?
Why do you think you are the best person for the job?
Tell me about yourself.
Tell me about other jobs you’ve had.
Employers want you to explain your skills. Practise answering questions before the interview. Employers also want you to care about their business. Learn about the company before your interview. At the interview, you can also ask the employer questions. Ask about job duties, wages, work hours, benefits, and vacation time."
