REF_DATE,GEO,Household type,"Household expenditures, summary-level categories",VALUE
2021,Canada,One person households,Total expenditure,49661.0
2021,Canada,One person households,Total current consumption,38330.0
2021,Canada,One person households,Food expenditures,5471.0
2021,Canada,One person households,Food purchased from stores,4245.0
2021,Canada,One person households,Bakery products,370.0
2021,Canada,One person households,Cereal grains and cereal products,225.0
2021,Canada,One person households,"Fruit, fruit preparations and nuts",539.0
2021,Canada,One person households,Vegetables and vegetable preparations,536.0
2021,Canada,One person households,Dairy products and eggs,619.0
2021,Canada,One person households,Meat,658.0
2021,Canada,One person households,Fish and seafood,151.0
2021,Canada,One person households,Non-alcoholic beverages and other food products,1148.0
2021,Canada,One person households,Food purchased from restaurants,1204.0
2021,Canada,One person households,Restaurant meals,1082.0
2021,Canada,One person households,Restaurant snacks and beverages,123.0
2021,Canada,One person households,Shelter,14100.0
2021,Canada,One person households,Principal accommodation,13509.0
2021,Canada,One person households,Rented living quarters,5484.0
2021,Canada,One person households,Rent,5325.0
2021,Canada,One person households,Tenants' repairs and improvements,32.0
2021,Canada,One person households,Tenants' insurance premiums,106.0
2021,Canada,One person households,Parking at rented living quarters (excluding amounts reported with rent),21.0
2021,Canada,One person households,Owned living quarters,6358.0
2021,Canada,One person households,Mortgage paid for owned living quarters,2655.0
2021,Canada,One person households,Repairs and maintenance for owned living quarters,437.0
2021,Canada,One person households,Condominium fees for owned living quarters,720.0
2021,Canada,One person households,Property and school taxes for owned living quarters,1433.0
2021,Canada,One person households,Homeowners' insurance premiums for owned living quarters,607.0
2021,Canada,One person households,Other expenditures for owned living quarters,506.0
2021,Canada,One person households,Mortgage insurance premiums for owned living quarters,105.0
2021,Canada,One person households,Transfer taxes and land registration fees for owned living quarters,43.0
2021,Canada,One person households,All other expenses related to owned living quarters (excluding repairs and maintenance),57.0
2021,Canada,One person households,"Water, fuel and electricity for principal accommodation",1667.0
2021,Canada,One person households,Water and sewage for principal accommodation,268.0
2021,Canada,One person households,Electricity for principal accommodation,968.0
2021,Canada,One person households,Natural gas for principal accommodation,315.0
2021,Canada,One person households,Other fuel for principal accommodation,115.0
2021,Canada,One person households,Other accommodation,591.0
2021,Canada,One person households,Owned secondary residences,253.0
2021,Canada,One person households,Mortgage paid for owned secondary residences,60.0
2021,Canada,One person households,"Property and school taxes, water and sewage charges for owned secondary residences",61.0
2021,Canada,One person households,Insurance premiums for owned secondary residences,23.0
2021,Canada,One person households,Electricity and fuel (e.g. natural gas and wood) for owned secondary residences,23.0
2021,Canada,One person households,"Communication and home security services (e.g. landline telephone, television, satellite radio and Internet) for owned secondary residences",7.0
2021,Canada,One person households,Other expenses for owned secondary residences,78.0
2021,Canada,One person households,Other owned properties,182.0
2021,Canada,One person households,Accommodation away from home,157.0
2021,Canada,One person households,Hotels and motels,76.0
2021,Canada,One person households,Other accommodation away from home,81.0
2021,Canada,One person households,Household operations,3339.0
2021,Canada,One person households,Communications,1928.0
2021,Canada,One person households,Telephone,997.0
2021,Canada,One person households,Landline telephone services,201.0
2021,Canada,One person households,Cell phone and pager services,658.0
2021,Canada,One person households,Purchase of telephones and equipment,138.0
2021,Canada,One person households,Internet access services,718.0
2021,Canada,One person households,Digital services,115.0
2021,Canada,One person households,"Postal, courier, delivery and other communication services",97.0
2021,Canada,One person households,Domestic and other custodial services (excluding child care),109.0
2021,Canada,One person households,Pet expenses,437.0
2021,Canada,One person households,Pet food and pet-related goods,243.0
2021,Canada,One person households,Purchase of pets,19.0
2021,Canada,One person households,Veterinarian and other services,175.0
2021,Canada,One person households,Household cleaning supplies and equipment,152.0
2021,Canada,One person households,Detergent and other soaps,56.0
2021,Canada,One person households,Other household cleaning supplies,79.0
2021,Canada,One person households,"Paper, plastic and foil supplies",252.0
2021,Canada,One person households,Stationery (excluding school supplies),69.0
2021,Canada,One person households,Other paper supplies,144.0
2021,Canada,One person households,Plastic and foil supplies,39.0
2021,Canada,One person households,Garden supplies and services,320.0
2021,Canada,One person households,"Nursery and greenhouse stock, cut flowers, decorative plants and planting seeds",146.0
2021,Canada,One person households,"Fertilizers, herbicides, insecticides, pesticides, soil and soil conditioners",47.0
2021,Canada,One person households,"Groundskeeping services, snow and garbage removal",127.0
2021,Canada,One person households,Other household supplies,106.0
2021,Canada,One person households,Household furnishings and equipment,1749.0
2021,Canada,One person households,Household furnishings,721.0
2021,Canada,One person households,Furniture,470.0
2021,Canada,One person households,"Rugs, mats and underpadding",31.0
2021,Canada,One person households,"Works of art, carvings and other decorative ware",80.0
2021,Canada,One person households,Linens,78.0
2021,Canada,One person households,"Other household furnishings (curtains, mirrors and picture frames)",62.0
2021,Canada,One person households,Household equipment,874.0
2021,Canada,One person households,Household appliances,357.0
2021,Canada,One person households,Refrigerators and freezers,86.0
2021,Canada,One person households,Microwave ovens and cooking appliances,64.0
2021,Canada,One person households,"Washers, dryers and dishwashers",76.0
2021,Canada,One person households,"Room air conditioners, portable humidifiers and dehumidifiers",70.0
2021,Canada,One person households,Other electric equipment and appliances (including parts and attachments),61.0
2021,Canada,One person households,Other household equipment,517.0
2021,Canada,One person households,Home and workshop tools and equipment,99.0
2021,Canada,One person households,"Lawn, garden and snow-removal equipment and tools",115.0
