REF_DATE,GEO,Household type,"Household expenditures, summary-level categories",VALUE
2021,Canada,One person households,Total expenditure,49661
2021,Canada,One person households,Total current consumption,38330
2021,Canada,One person households,Food expenditures,5471
2021,Canada,One person households,Food purchased from stores,4245
2021,Canada,One person households,Bakery products,370
2021,Canada,One person households,Cereal grains and cereal products,225
2021,Canada,One person households,"Fruit, fruit preparations and nuts",539
2021,Canada,One person households,Vegetables and vegetable preparations,536
2021,Canada,One person households,Dairy products and eggs,619
2021,Canada,One person households,Meat,658
2021,Canada,One person households,Fish and seafood,151
2021,Canada,One person households,Non-alcoholic beverages and other food products,1148
2021,Canada,One person households,Ready-to-cook meal delivery services,
2021,Canada,One person households,Food purchased from restaurants,1204
2021,Canada,One person households,Restaurant meals,1082
2021,Canada,One person households,Restaurant snacks and beverages,123
2021,Canada,One person households,Shelter,14100
2021,Canada,One person households,Principal accommodation,13509
2021,Canada,One person households,Rented living quarters,5484
2021,Canada,One person households,Rent,5325
2021,Canada,One person households,Tenants' repairs and improvements,32
2021,Canada,One person households,Tenants' insurance premiums,106
2021,Canada,One person households,Parking at rented living quarters (excluding amounts reported with rent),21
2021,Canada,One person households,Owned living quarters,6358
2021,Canada,One person households,Mortgage paid for owned living quarters,2655
2021,Canada,One person households,Repairs and maintenance for owned living quarters,437
2021,Canada,One person households,Condominium fees for owned living quarters,720
2021,Canada,One person households,Property and school taxes for owned living quarters,1433
2021,Canada,One person households,Homeowners' insurance premiums for owned living quarters,607
2021,Canada,One person households,Other expenditures for owned living quarters,506
2021,Canada,One person households,Commissions for sale of real estate owned by the household,
2021,Canada,One person households,Legal fees related to owned living quarters,
2021,Canada,One person households,Mortgage insurance premiums for owned living quarters,105
2021,Canada,One person households,"Registration fees, renewal fees and early renewal or closing penalties for owned living quarters",
2021,Canada,One person households,Transfer taxes and land registration fees for owned living quarters,43
2021,Canada,One person households,All other expenses related to owned living quarters (excluding repairs and maintenance),57
2021,Canada,One person households,"Water, fuel and electricity for principal accommodation",1667
2021,Canada,One person households,Water and sewage for principal accommodation,268
2021,Canada,One person households,Electricity for principal accommodation,968
