REF_DATE,GEO,Size of area of residence,"Household expenditures, summary-level categories",VALUE
2021,Canada,All classes,Total expenditure,92500
2021,Canada,All classes,Total current consumption,67126
2021,Canada,All classes,Food expenditures,10305
2021,Canada,All classes,Food purchased from stores,8065
2021,Canada,All classes,Bakery products,698
2021,Canada,All classes,Cereal grains and cereal products,464
2021,Canada,All classes,"Fruit, fruit preparations and nuts",1030
2021,Canada,All classes,Vegetables and vegetable preparations,967
2021,Canada,All classes,Dairy products and eggs,1161
2021,Canada,All classes,Meat,1517
2021,Canada,All classes,Fish and seafood,305
2021,Canada,All classes,Non-alcoholic beverages and other food products,1923
2021,Canada,All classes,Ready-to-cook meal delivery services,52
2021,Canada,All classes,Food purchased from restaurants,2189
2021,Canada,All classes,Restaurant meals,1963
2021,Canada,All classes,Restaurant snacks and beverages,226
2021,Canada,All classes,Shelter,21106
2021,Canada,All classes,Principal accommodation,19582
2021,Canada,All classes,Rented living quarters,4145
2021,Canada,All classes,Rent,4010
2021,Canada,All classes,Tenants' repairs and improvements,35
2021,Canada,All classes,Tenants' insurance premiums,78
2021,Canada,All classes,Parking at rented living quarters (excluding amounts reported with rent),23
2021,Canada,All classes,Owned living quarters,12700
2021,Canada,All classes,Mortgage paid for owned living quarters,6882
2021,Canada,All classes,Repairs and maintenance for owned living quarters,899
2021,Canada,All classes,Condominium fees for owned living quarters,506
2021,Canada,All classes,Property and school taxes for owned living quarters,2436
2021,Canada,All classes,Homeowners' insurance premiums for owned living quarters,991
2021,Canada,All classes,Other expenditures for owned living quarters,985
2021,Canada,All classes,Commissions for sale of real estate owned by the household,261
2021,Canada,All classes,Legal fees related to owned living quarters,95
2021,Canada,All classes,Mortgage insurance premiums for owned living quarters,257
2021,Canada,All classes,"Registration fees, renewal fees and early renewal or closing penalties for owned living quarters",79
2021,Canada,All classes,Transfer taxes and land registration fees for owned living quarters,232
2021,Canada,All classes,All other expenses related to owned living quarters (excluding repairs and maintenance),62
2021,Canada,All classes,"Water, fuel and electricity for principal accommodation",2737
2021,Canada,All classes,Water and sewage for principal accommodation,513
2021,Canada,All classes,Electricity for principal accommodation,1480
2021,Canada,All classes,Natural gas for principal accommodation,565
2021,Canada,All classes,Other fuel for principal accommodation,180
2021,Canada,All classes,Other accommodation,1523
2021,Canada,All classes,Owned secondary residences,724
2021,Canada,All classes,Mortgage paid for owned secondary residences,213
2021,Canada,All classes,"Property and school taxes, water and sewage charges for owned secondary residences",154
2021,Canada,All classes,Insurance premiums for owned secondary residences,58
2021,Canada,All classes,Electricity and fuel (e.g. natural gas and wood) for owned secondary residences,60
2021,Canada,All classes,"Communication and home security services (e.g. landline telephone, television, satellite radio and Internet) for owned secondary residences",21
2021,Canada,All classes,Other expenses for owned secondary residences,217
2021,Canada,All classes,Other owned properties,402
2021,Canada,All classes,Accommodation away from home,397
2021,Canada,All classes,Hotels and motels,194
2021,Canada,All classes,Other accommodation away from home,203
2021,Canada,All classes,Household operations,5587
2021,Canada,All classes,Communications,3001
2021,Canada,All classes,Telephone,1805
2021,Canada,All classes,Landline telephone services,223
2021,Canada,All classes,Cell phone and pager services,1308
2021,Canada,All classes,Purchase of telephones and equipment,274
2021,Canada,All classes,Internet access services,886
2021,Canada,All classes,Digital services,171
