question,answer
What was the average household expenditure on Total expenditure for One person households in 2021?,$49661.0
What was the average household expenditure on Total current consumption for One person households in 2021?,$38330.0
What was the average household expenditure on Food expenditures for One person households in 2021?,$5471.0
What was the average household expenditure on Food purchased from stores for One person households in 2021?,$4245.0
What was the average household expenditure on Bakery products for One person households in 2021?,$370.0
What was the average household expenditure on Cereal grains and cereal products for One person households in 2021?,$225.0
"What was the average household expenditure on Fruit, fruit preparations and nuts for One person households in 2021?",$539.0
What was the average household expenditure on Vegetables and vegetable preparations for One person households in 2021?,$536.0
What was the average household expenditure on Dairy products and eggs for One person households in 2021?,$619.0
What was the average household expenditure on Meat for One person households in 2021?,$658.0
What was the average household expenditure on Fish and seafood for One person households in 2021?,$151.0
What was the average household expenditure on Non-alcoholic beverages and other food products for One person households in 2021?,$1148.0
What was the average household expenditure on Ready-to-cook meal delivery services for One person households in 2021?,$nan
What was the average household expenditure on Food purchased from restaurants for One person households in 2021?,$1204.0
What was the average household expenditure on Restaurant meals for One person households in 2021?,$1082.0
What was the average household expenditure on Restaurant snacks and beverages for One person households in 2021?,$123.0
What was the average household expenditure on Shelter for One person households in 2021?,$14100.0
What was the average household expenditure on Principal accommodation for One person households in 2021?,$13509.0
What was the average household expenditure on Rented living quarters for One person households in 2021?,$5484.0
What was the average household expenditure on Rent for One person households in 2021?,$5325.0
What was the average household expenditure on Tenants' repairs and improvements for One person households in 2021?,$32.0
What was the average household expenditure on Tenants' insurance premiums for One person households in 2021?,$106.0
What was the average household expenditure on Parking at rented living quarters (excluding amounts reported with rent) for One person households in 2021?,$21.0
What was the average household expenditure on Owned living quarters for One person households in 2021?,$6358.0
What was the average household expenditure on Mortgage paid for owned living quarters for One person households in 2021?,$2655.0
What was the average household expenditure on Repairs and maintenance for owned living quarters for One person households in 2021?,$437.0
What was the average household expenditure on Condominium fees for owned living quarters for One person households in 2021?,$720.0
What was the average household expenditure on Property and school taxes for owned living quarters for One person households in 2021?,$1433.0
What was the average household expenditure on Homeowners' insurance premiums for owned living quarters for One person households in 2021?,$607.0
What was the average household expenditure on Other expenditures for owned living quarters for One person households in 2021?,$506.0
What was the average household expenditure on Commissions for sale of real estate owned by the household for One person households in 2021?,$nan
What was the average household expenditure on Legal fees related to owned living quarters for One person households in 2021?,$nan
What was the average household expenditure on Mortgage insurance premiums for owned living quarters for One person households in 2021?,$105.0
"What was the average household expenditure on Registration fees, renewal fees and early renewal or closing penalties for owned living quarters for One person households in 2021?",$nan
What was the average household expenditure on Transfer taxes and land registration fees for owned living quarters for One person households in 2021?,$43.0
What was the average household expenditure on All other expenses related to owned living quarters (excluding repairs and maintenance) for One person households in 2021?,$57.0
"What was the average household expenditure on Water, fuel and electricity for principal accommodation for One person households in 2021?",$1667.0
What was the average household expenditure on Water and sewage for principal accommodation for One person households in 2021?,$268.0
What was the average household expenditure on Electricity for principal accommodation for One person households in 2021?,$968.0
What was the average household expenditure on Natural gas for principal accommodation for One person households in 2021?,$315.0
What was the average household expenditure on Other fuel for principal accommodation for One person households in 2021?,$115.0
What was the average household expenditure on Other accommodation for One person households in 2021?,$591.0
What was the average household expenditure on Owned secondary residences for One person households in 2021?,$253.0
What was the average household expenditure on Mortgage paid for owned secondary residences for One person households in 2021?,$60.0
"What was the average household expenditure on Property and school taxes, water and sewage charges for owned secondary residences for One person households in 2021?",$61.0
What was the average household expenditure on Insurance premiums for owned secondary residences for One person households in 2021?,$23.0
What was the average household expenditure on Electricity and fuel (e.g. natural gas and wood) for owned secondary residences for One person households in 2021?,$23.0
