"question","answer"
"What was the average household expenditure on Total expenditure for One person households in 2021?","The yearly average was $49,661.00, which is about $4,138.42 per month."
"What was the average household expenditure on Total current consumption for One person households in 2021?","The yearly average was $38,330.00, which is about $3,194.17 per month."
"What was the average household expenditure on Food expenditures for One person households in 2021?","The yearly average was $5,471.00, which is about $455.92 per month."
"What was the average household expenditure on Food purchased from stores for One person households in 2021?","The yearly average was $4,245.00, which is about $353.75 per month."
"What was the average household expenditure on Bakery products for One person households in 2021?","The yearly average was $370.00, which is about $30.83 per month."
"What was the average household expenditure on Cereal grains and cereal products for One person households in 2021?","The yearly average was $225.00, which is about $18.75 per month."
"What was the average household expenditure on Fruit, fruit preparations and nuts for One person households in 2021?","The yearly average was $539.00, which is about $44.92 per month."
"What was the average household expenditure on Vegetables and vegetable preparations for One person households in 2021?","The yearly average was $536.00, which is about $44.67 per month."
"What was the average household expenditure on Dairy products and eggs for One person households in 2021?","The yearly average was $619.00, which is about $51.58 per month."
"What was the average household expenditure on Meat for One person households in 2021?","The yearly average was $658.00, which is about $54.83 per month."
"What was the average household expenditure on Fish and seafood for One person households in 2021?","The yearly average was $151.00, which is about $12.58 per month."
"What was the average household expenditure on Non-alcoholic beverages and other food products for One person households in 2021?","The yearly average was $1,148.00, which is about $95.67 per month."
"What was the average household expenditure on Food purchased from restaurants for One person households in 2021?","The yearly average was $1,204.00, which is about $100.33 per month."
"What was the average household expenditure on Restaurant meals for One person households in 2021?","The yearly average was $1,082.00, which is about $90.17 per month."
"What was the average household expenditure on Restaurant snacks and beverages for One person households in 2021?","The yearly average was $123.00, which is about $10.25 per month."
"What was the average household expenditure on Shelter for One person households in 2021?","The yearly average was $14,100.00, which is about $1,175.00 per month."
"What was the average household expenditure on Principal accommodation for One person households in 2021?","The yearly average was $13,509.00, which is about $1,125.75 per month."
"What was the average household expenditure on Rented living quarters for One person households in 2021?","The yearly average was $5,484.00, which is about $457.00 per month."
"What was the average household expenditure on Rent for One person households in 2021?","The yearly average was $5,325.00, which is about $443.75 per month."
"What was the average household expenditure on Tenants' repairs and improvements for One person households in 2021?","The yearly average was $32.00, which is about $2.67 per month."
"What was the average household expenditure on Tenants' insurance premiums for One person households in 2021?","The yearly average was $106.00, which is about $8.83 per month."
"What was the average household expenditure on Parking at rented living quarters (excluding amounts reported with rent) for One person households in 2021?","The yearly average was $21.00, which is about $1.75 per month."
"What was the average household expenditure on Owned living quarters for One person households in 2021?","The yearly average was $6,358.00, which is about $529.83 per month."
"What was the average household expenditure on Mortgage paid for owned living quarters for One person households in 2021?","The yearly average was $2,655.00, which is about $221.25 per month."
"What was the average household expenditure on Repairs and maintenance for owned living quarters for One person households in 2021?","The yearly average was $437.00, which is about $36.42 per month."
"What was the average household expenditure on Condominium fees for owned living quarters for One person households in 2021?","The yearly average was $720.00, which is about $60.00 per month."
"What was the average household expenditure on Property and school taxes for owned living quarters for One person households in 2021?","The yearly average was $1,433.00, which is about $119.42 per month."
