Question,Answer
Can you tell me about the 79 Grind hike?,"Ranking: ☆☆☆
Difficulty: Moderate
Distance: 6.4 km
Elevation Gain: 555 m
Gradient: 0.17350000000000002
Time: 2 – 4 hours
Dogs Allowed: Yes
4x4 Needed: No
Season: Year-Round
Region: Fraser Valley North"
Can you tell me about the Abby Grind hike?,"Ranking: ☆☆☆
Difficulty: Moderate
Distance: 3.5 km
Elevation Gain: 438 m
Gradient: 0.2502
Time: 0 – 2 hours
Dogs Allowed: Yes
4x4 Needed: No
Season: Year-Round
Region: Fraser Valley West"
Can you tell me about the Al’s Habrich Ridge hike?,"Ranking: ☆☆☆☆
Difficulty: Moderate
Distance: 6.8 km
Elevation Gain: 410 m
Gradient: 0.1206
Time: 2 – 4 hours
Dogs Allowed: Yes
4x4 Needed: No
Season: Year-Round
Region: Howe Sound"
Can you tell me about the Aldergrove Regional Park hike?,"Ranking: ☆☆
Difficulty: Very Easy
Distance: 6.4 km
Elevation Gain: 130 m
Gradient: 0.0406
Time: 0 – 2 hours
Dogs Allowed: Yes
4x4 Needed: No
Season: Year-Round
Region: Metro Vancouver"
Can you tell me about the Alouette Mountain hike?,"Ranking: ☆☆☆
Difficulty: Moderate
Distance: 24.1 km
Elevation Gain: 1231 m
Gradient: 0.10220000000000001
Time: 6 – 8 hours
Dogs Allowed: Yes
4x4 Needed: No
Season: Year-Round (Summer Preferred)
Region: Golden Ears"
Can you tell me about the Alpen Mountain hike?,"Ranking: ☆☆☆☆
Difficulty: Difficult
Distance: 17.95 km
Elevation Gain: 1251 m
Gradient: 0.1394
Time: 6 – 8 hours
Dogs Allowed: Yes
4x4 Needed: Would make it easier
Season: Year-Round (Winter Preferred)
Region: Howe Sound"
Can you tell me about the Alta Mountain hike?,"Ranking: ☆☆☆☆☆
Difficulty: Difficult
Distance: 15.6 km
Elevation Gain: 1070 m
Gradient: 0.13720000000000002
Time: 6 – 8 hours
Dogs Allowed: Yes
4x4 Needed: No
Season: Summer
Region: Washington"
Can you tell me about the Anif Peak hike?,"Ranking: ☆☆☆☆
Difficulty: Difficult
Distance: 14.0 km
Elevation Gain: 1100 m
Gradient: 0.157
Time: 4 – 6 hours
Dogs Allowed: Yes
4x4 Needed: Would make it easier
Season: Year-Round (Winter Preferred)
Region: Howe Sound"
Can you tell me about the Bagpipe Peak hike?,"Ranking: ☆☆☆
Difficulty: Difficult
Distance: 14.8 km
Elevation Gain: 1170 m
Gradient: 0.15810000000000002
Time: 6 – 8 hours
Dogs Allowed: Yes
4x4 Needed: Yes
Season: Winter
Region: Howe Sound"
Can you tell me about the Barometer Mountain hike?,"Ranking: ☆☆☆☆
Difficulty: Difficult
Distance: 14.0 km
Elevation Gain: 1000 m
Gradient: 0.14300000000000002
Time: 4 – 6 hours
Dogs Allowed: Yes
4x4 Needed: No
Season: Year-Round (Winter Preferred)
Region: Washington"
Can you tell me about the BCMC Trail hike?,"Ranking: ☆☆☆
Difficulty: Difficult
Distance: 3.1 km
Elevation Gain: 789 m
Gradient: 0.2545
Time: 0 – 2 hours
Dogs Allowed: No
4x4 Needed: No
Season: Year-Round
Region: Metro Vancouver"
Can you tell me about the Bear Mountain (Harrison) hike?,"Ranking: ☆☆☆
Difficulty: Difficult
Distance: 20.0 km
Elevation Gain: 1150 m
Gradient: 11.5
Time: 6 – 8 hours
Dogs Allowed: Yes
4x4 Needed: No
Season: Year-Round
Region: Fraser Valley North"
Can you tell me about the Bear Mountain (Mission) hike?,"Ranking: ☆☆☆
Difficulty: Moderate
Distance: 8.9 km
Elevation Gain: 424 m
Gradient: 0.09519999999999999
Time: 2 – 4 hours
Dogs Allowed: Yes
4x4 Needed: No
Season: Year-Round
Region: Fraser Valley North"
Can you tell me about the Bedpost & Spiral Peak hike?,"Ranking: ☆☆☆☆
Difficulty: Difficult
Distance: 21.6 km
Elevation Gain: 1285 m
Gradient: 0.11900000000000001
Time: 6 – 8 hours
Dogs Allowed: Yes
4x4 Needed: No
Season: Summer
Region: Fraser Valley East"
Can you tell me about the Belcarra Bluffs hike?,"Ranking: ☆☆☆
Difficulty: Easy
Distance: 5.5 km
Elevation Gain: 290 m
Gradient: 0.105
Time: 2 – 4 hours
Dogs Allowed: Yes
4x4 Needed: No
Season: Year-Round
Region: Metro Vancouver"
Can you tell me about the Blackcomb Peak & The Spearhead hike?,"Ranking: ☆☆☆☆☆
Difficulty: Moderate
Distance: 10.9 km
Elevation Gain: 814 m
Gradient: 0.1494
Time: 4 – 6 hours
Dogs Allowed: No
4x4 Needed: No
Season: Summer
Region: Whistler"
Can you tell me about the Blanca Lake & Peak hike?,"Ranking: ☆☆☆☆
Difficulty: Moderate
Distance: 16.2 km
Elevation Gain: 1044 m
Gradient: 0.12890000000000001
Time: 6 – 8 hours
Dogs Allowed: Yes
4x4 Needed: Yes
Season: Summer
Region: Whistler"
Can you tell me about the Borden Peak hike?,"Ranking: ☆☆☆
Difficulty: Difficult
Distance: 15.65 km
Elevation Gain: 1035 m
Gradient: 0.1323
Time: 6 – 8 hours
Dogs Allowed: Yes
4x4 Needed: Yes
Season: Year-Round (Winter Preferred)
Region: Fraser Valley West"
Can you tell me about the Bowen Lookout & Yew Lake hike?,"Ranking: ☆☆☆
Difficulty: Very Easy
Distance: 4.5 km
Elevation Gain: 150 m
Gradient: 0.0667
Time: 0 – 2 hours
Dogs Allowed: No
4x4 Needed: No
Season: Year-Round
Region: Metro Vancouver"
Can you tell me about the Brandywine Falls hike?,"Ranking: ☆☆☆
Difficulty: Very Easy
Distance: 5.8 km
Elevation Gain: 164 m
Gradient: 0.0565
Time: 0 – 2 hours
Dogs Allowed: Yes
4x4 Needed: No
Season: Year-Round
Region: Whistler"
Can you tell me about the Brandywine Meadows hike?,"Ranking: ☆☆☆☆
Difficulty: Moderate
Distance: 11.1 km
Elevation Gain: 815 m
Gradient: 0.14679999999999999
Time: 4 – 6 hours
Dogs Allowed: Yes
4x4 Needed: Would make it easier
Season: Summer
Region: Whistler"
Can you tell me about the Brandywine Mountain hike?,"Ranking: ☆☆☆☆☆
Difficulty: Difficult
Distance: 14.5 km
Elevation Gain: 1465 m
Gradient: 0.2021
Time: 6 – 8 hours
Dogs Allowed: Yes
4x4 Needed: Would make it easier
Season: Summer
Region: Whistler"
Can you tell me about the Brian Waddington Hut hike?,"Ranking: ☆☆☆☆
Difficulty: Difficult
Distance: 9.5 km
Elevation Gain: 1105 m
Gradient: 0.11630000000000001
Time: 2 – 4 hours
Dogs Allowed: Yes
4x4 Needed: Would make it easier
Season: Year-Round
Region: Pemberton"
Can you tell me about the Brothers Creek hike?,"Ranking: ☆☆☆
Difficulty: Moderate
Distance: 10.2 km
Elevation Gain: 475 m
Gradient: 0.09300000000000001
Time: 2 – 4 hours
Dogs Allowed: Yes
4x4 Needed: No
Season: Year-Round
Region: Metro Vancouver"
Can you tell me about the Brunswick Mountain hike?,"Ranking: ☆☆☆☆☆
Difficulty: Very Difficult
Distance: 15.1 km
Elevation Gain: 1555 m
Gradient: 0.20600000000000002
Time: 6 – 8 hours
Dogs Allowed: Yes
4x4 Needed: No
Season: Summer
Region: Howe Sound"
Can you tell me about the Buntzen Lake hike?,"Ranking: ☆☆☆
Difficulty: Easy
Distance: 10.5 km
Elevation Gain: 300 m
Gradient: 0.057
Time: 2 – 4 hours
Dogs Allowed: Yes
4x4 Needed: No
Season: Year-Round
Region: Metro Vancouver"
Can you tell me about the Capilano Canyon hike?,"Ranking: ☆☆
Difficulty: Easy
Distance: 6.0 km
Elevation Gain: 225 m
Gradient: 0.075
Time: 2 – 4 hours
Dogs Allowed: Yes
4x4 Needed: No
Season: Year-Round
Region: Metro Vancouver"
Can you tell me about the Cartmell Peak hike?,"Ranking: ☆☆☆☆
Difficulty: Moderate
Distance: 8.75 km
Elevation Gain: 640 m
Gradient: 0.1462
Time: 2 – 4 hours
Dogs Allowed: Yes
4x4 Needed: No
Season: Year-Round (Winter Preferred)
Region: Fraser Valley North"
Can you tell me about the Cascade Pass & Sahale Arm hike?,"Ranking: ☆☆☆☆☆
Difficulty: Difficult
Distance: 20.6 km
Elevation Gain: 1250 m
Gradient: 0.1213
Time: 6 – 8 hours
Dogs Allowed: No
4x4 Needed: No
Season: Summer
Region: Washington"
Can you tell me about the Cayoosh Mountain hike?,"Ranking: ☆☆☆☆☆
Difficulty: Very Difficult
Distance: 15.2 km
Elevation Gain: 1300 m
Gradient: 0.171
Time: 8 – 10 hours
Dogs Allowed: Yes
4x4 Needed: No
Season: Winter
Region: Pemberton"
Can you tell me about the Chadsey Lake hike?,"Ranking: ☆☆☆
Difficulty: Moderate
Distance: 10.6 km
Elevation Gain: 680 m
Gradient: 0.1283
Time: 2 – 4 hours
Dogs Allowed: Yes
4x4 Needed: No
Season: Year-Round
Region: Fraser Valley West"
Can you tell me about the Chain Lakes Loop hike?,"Ranking: ☆☆☆☆☆
Difficulty: Moderate
Distance: 10.0 km
Elevation Gain: 550 m
Gradient: 0.11
Time: 2 – 4 hours
Dogs Allowed: Yes
4x4 Needed: No
Season: Summer
Region: Washington"
Can you tell me about the Church Mountain hike?,"Ranking: ☆☆☆☆
Difficulty: Moderate
Distance: 8.0 km
Elevation Gain: 550 m
Gradient: 0.1375
Time: 2 – 4 hours
Dogs Allowed: Yes
4x4 Needed: Yes
Season: Summer
Region: Fraser Valley West"
Can you tell me about the Cloudburst Mountain hike?,"Ranking: ☆☆☆☆
Difficulty: Difficult
Distance: 15.3 km
Elevation Gain: 1300 m
Gradient: 0.17
Time: 6 – 8 hours
Dogs Allowed: Yes
4x4 Needed: Would make it easier
Season: Year-Round (Winter Preferred)
Region: Whistler"
Can you tell me about the Colchuck Lake hike?,"Ranking: ☆☆☆☆☆
Difficulty: Moderate
Distance: 14.0 km
Elevation Gain: 715 m
Gradient: 0.10210000000000001
Time: 4 – 6 hours
Dogs Allowed: No
4x4 Needed: No
Season: Summer
Region: Washington"
Can you tell me about the Colchuck Peak hike?,"Ranking: ☆☆☆☆☆
Difficulty: Very Difficult
Distance: 20.3 km
Elevation Gain: 1665 m
Gradient: 0.16399999999999998
Time: 10+ hours
Dogs Allowed: No
4x4 Needed: No
Season: Summer
Region: Washington"
Can you tell me about the Coliseum Mountain hike?,"Ranking: ☆☆☆☆
Difficulty: Difficult
Distance: 10.5 km
Elevation Gain: 1350 m
Gradient: 0.2571
Time: 4 – 6 hours
Dogs Allowed: Yes
4x4 Needed: No
Season: Summer
Region: Metro Vancouver"
Can you tell me about the Conway Peak hike?,"Ranking: ☆☆☆☆☆
Difficulty: Difficult
Distance: 19.2 km
Elevation Gain: 1310 m
Gradient: 0.1365
Time: 6 – 8 hours
Dogs Allowed: Yes
4x4 Needed: No
Season: Summer
Region: Fraser Valley West"
Can you tell me about the Copper Mound and Mount McLeod hike?,"Ranking: ☆☆☆☆
Difficulty: Moderate
Distance: 8.2 km
Elevation Gain: 715 m
Gradient: 0.1744
Time: 2 – 4 hours
Dogs Allowed: No
4x4 Needed: Would make it easier
Season: Summer
Region: Pemberton"
Can you tell me about the Coquihalla Mountain hike?,"Ranking: ☆☆☆☆☆
Difficulty: Difficult
Distance: 21.2 km
Elevation Gain: 1350 m
Gradient: 0.1274
Time: 8 – 10 hours
Dogs Allowed: Yes
4x4 Needed: No
Season: Summer
Region: Fraser Valley East"
Can you tell me about the Coquitlam Crunch hike?,"Ranking: ☆☆
Difficulty: Easy
Distance: 5.8 km
Elevation Gain: 260 m
Gradient: 0.0895
Time: 0 – 2 hours
Dogs Allowed: Yes
4x4 Needed: No
Season: Year-Round
Region: Metro Vancouver"
Can you tell me about the Coquitlam Lake Viewpoint hike?,"Ranking: ☆☆☆
Difficulty: Moderate
Distance: 10.8 km
Elevation Gain: 610 m
Gradient: 0.113
Time: 2 – 4 hours
Dogs Allowed: Yes
4x4 Needed: No
Season: Year-Round
Region: Metro Vancouver"
Can you tell me about the Cottonwood Peak hike?,"Ranking: ☆☆☆☆☆
Difficulty: Difficult
Distance: 18.65 km
Elevation Gain: 1270 m
Gradient: 0.1362
Time: 6 – 8 hours
Dogs Allowed: Yes
4x4 Needed: Yes
Season: Summer
Region: Pemberton"
Can you tell me about the Cougar Divide hike?,"Ranking: ☆☆☆☆
Difficulty: Moderate
Distance: 10.0 km
Elevation Gain: 545 m
Gradient: 0.109
Time: 2 – 4 hours
Dogs Allowed: Yes
4x4 Needed: Would make it easier
Season: Summer
Region: Washington"
