question,answer
Where is 221A Artist Run Centre located?,"221A Artist Run Centre is located at 221 E Georgia St, Vancouver, BC, V6A 1Z6."
In which local area is 221A Artist Run Centre located?,221A Artist Run Centre is in the Strathcona neighborhood.
What type of cultural space is 221A Artist Run Centre?,221A Artist Run Centre is categorized as a Museum/Gallery.
What is the primary use of 221A Artist Run Centre?,The primary use of 221A Artist Run Centre is Museum/Gallery.
Who owns 221A Artist Run Centre?,221A Artist Run Centre is owned by Privately Owned.
How big is 221A Artist Run Centre in square feet?,221A Artist Run Centre has approximately 9000 square feet of space.
Where can I find more information about 221A Artist Run Centre?,You can learn more at: www.221a.ca/?
Is 221A Artist Run Centre currently active?,"Yes, 221A Artist Run Centre is currently active."
Where is 222 E Georgia Studios located?,"222 E Georgia Studios is located at 222 E Georgia St, Vancouver, BC, V6A 1Z7."
In which local area is 222 E Georgia Studios located?,222 E Georgia Studios is in the Strathcona neighborhood.
What type of cultural space is 222 E Georgia Studios?,222 E Georgia Studios is categorized as a Studio/Rehearsal.
What is the primary use of 222 E Georgia Studios?,The primary use of 222 E Georgia Studios is Artist Studio.
Who owns 222 E Georgia Studios?,222 E Georgia Studios is owned by Privately Owned.
How big is 222 E Georgia Studios in square feet?,222 E Georgia Studios has approximately 7800 square feet of space.
Where can I find more information about 222 E Georgia Studios?,You can learn more at: http://projectspace.ca/blog/
Is 222 E Georgia Studios currently active?,"Yes, 222 E Georgia Studios is currently active."
Where is Aberthau Mansion/West Point Grey Community Centre located?,"Aberthau Mansion/West Point Grey Community Centre is located at 4397 W 2nd Av, Vancouver, BC, V6R 1K4."
In which local area is Aberthau Mansion/West Point Grey Community Centre located?,Aberthau Mansion/West Point Grey Community Centre is in the West Point Grey neighborhood.
What type of cultural space is Aberthau Mansion/West Point Grey Community Centre?,Aberthau Mansion/West Point Grey Community Centre is categorized as a Community Space.
What is the primary use of Aberthau Mansion/West Point Grey Community Centre?,The primary use of Aberthau Mansion/West Point Grey Community Centre is Community Centre/Hall.
Who owns Aberthau Mansion/West Point Grey Community Centre?,Aberthau Mansion/West Point Grey Community Centre is owned by City of Vancouver.
How big is Aberthau Mansion/West Point Grey Community Centre in square feet?,Aberthau Mansion/West Point Grey Community Centre has approximately 2930 square feet of space.
Is Aberthau Mansion/West Point Grey Community Centre currently active?,"Yes, Aberthau Mansion/West Point Grey Community Centre is currently active."
Where is Alliance for Arts and Culture located?,"Alliance for Arts and Culture is located at 938 Howe St, Vancouver, BC, V6Z 1N9."
In which local area is Alliance for Arts and Culture located?,Alliance for Arts and Culture is in the Downtown neighborhood.
What type of cultural space is Alliance for Arts and Culture?,Alliance for Arts and Culture is categorized as a Museum/Gallery.
What is the primary use of Alliance for Arts and Culture?,The primary use of Alliance for Arts and Culture is Library/Archives.
Who owns Alliance for Arts and Culture?,Alliance for Arts and Culture is owned by Privately Owned.
How big is Alliance for Arts and Culture in square feet?,Alliance for Arts and Culture has approximately 4095 square feet of space.
How many seats are available at Alliance for Arts and Culture?,Alliance for Arts and Culture has 30 seats.
Where can I find more information about Alliance for Arts and Culture?,You can learn more at: http://www.allianceforarts.com
Is Alliance for Arts and Culture currently active?,"Yes, Alliance for Arts and Culture is currently active."
Where is Alliance Francaise de Vancouver located?,"Alliance Francaise de Vancouver is located at 6161 Cambie St, Vancouver, BC, V5Z 3B2."
In which local area is Alliance Francaise de Vancouver located?,Alliance Francaise de Vancouver is in the Oakridge neighborhood.
What type of cultural space is Alliance Francaise de Vancouver?,Alliance Francaise de Vancouver is categorized as a Community Space.
What is the primary use of Alliance Francaise de Vancouver?,The primary use of Alliance Francaise de Vancouver is Community Centre/Hall.
Who owns Alliance Francaise de Vancouver?,Alliance Francaise de Vancouver is owned by Privately Owned.
Where can I find more information about Alliance Francaise de Vancouver?,You can learn more at: http://www.alliancefrancaise.ca/
Is Alliance Francaise de Vancouver currently active?,"Yes, Alliance Francaise de Vancouver is currently active."
Where is Arts Club Theatre - Backstage Lounge located?,"Arts Club Theatre - Backstage Lounge is located at 1585 Johnston St, Vancouver, BC, V6H 3R9."
In which local area is Arts Club Theatre - Backstage Lounge located?,Arts Club Theatre - Backstage Lounge is in the Fairview neighborhood.
What type of cultural space is Arts Club Theatre - Backstage Lounge?,Arts Club Theatre - Backstage Lounge is categorized as a Cafe/Restaurant/Bar.
What is the primary use of Arts Club Theatre - Backstage Lounge?,The primary use of Arts Club Theatre - Backstage Lounge is Bar/Lounge/Cabaret.
Who owns Arts Club Theatre - Backstage Lounge?,Arts Club Theatre - Backstage Lounge is owned by Government.
How many seats are available at Arts Club Theatre - Backstage Lounge?,Arts Club Theatre - Backstage Lounge has 60 seats.
Where can I find more information about Arts Club Theatre - Backstage Lounge?,You can learn more at: www.thebackstagelounge.com
Is Arts Club Theatre - Backstage Lounge currently active?,"Yes, Arts Club Theatre - Backstage Lounge is currently active."
Where is Arts Club Theatre - Granville Island Stage located?,"Arts Club Theatre - Granville Island Stage is located at 1585 Johnston St, Vancouver, BC, V6H 3R9."
In which local area is Arts Club Theatre - Granville Island Stage located?,Arts Club Theatre - Granville Island Stage is in the Fairview neighborhood.
What type of cultural space is Arts Club Theatre - Granville Island Stage?,Arts Club Theatre - Granville Island Stage is categorized as a Theatre/Performance.
What is the primary use of Arts Club Theatre - Granville Island Stage?,The primary use of Arts Club Theatre - Granville Island Stage is Theatre.
Who owns Arts Club Theatre - Granville Island Stage?,Arts Club Theatre - Granville Island Stage is owned by Government.
How big is Arts Club Theatre - Granville Island Stage in square feet?,Arts Club Theatre - Granville Island Stage has approximately 17790 square feet of space.
How many seats are available at Arts Club Theatre - Granville Island Stage?,Arts Club Theatre - Granville Island Stage has 430 seats.
Where can I find more information about Arts Club Theatre - Granville Island Stage?,You can learn more at: www.artsclub.com
Is Arts Club Theatre - Granville Island Stage currently active?,"Yes, Arts Club Theatre - Granville Island Stage is currently active."
Where is Arts Umbrella located?,"Arts Umbrella is located at 1286 Cartwright St, Vancouver, BC, V6H 3R8."
In which local area is Arts Umbrella located?,Arts Umbrella is in the Fairview neighborhood.
What type of cultural space is Arts Umbrella?,Arts Umbrella is categorized as a Educational.
What is the primary use of Arts Umbrella?,The primary use of Arts Umbrella is Educational Institution.
Who owns Arts Umbrella?,Arts Umbrella is owned by Government.
How big is Arts Umbrella in square feet?,Arts Umbrella has approximately 18000 square feet of space.
Where can I find more information about Arts Umbrella?,You can learn more at: www.artsumbrella.com
Is Arts Umbrella currently active?,"Yes, Arts Umbrella is currently active."
