question,answer
"Where is Arbutus Village Park located, and does it have facilities and washrooms?","Arbutus Village Park is located at 4202 Valley Drive, in the Arbutus-Ridge area. For more information, you can visit the neighbourhood page at https://vancouver.ca/news-calendar/arbutus-ridge.aspx. The park is 1.41 hectares in size. It has facilities: Yes. Washrooms are available: No. You can view it on Google Maps at 49.249783, -123.15525."
"Where is Park Site on Puget Drive located, and does it have facilities and washrooms?","Park Site on Puget Drive is located at 4309 Puget Drive, in the Arbutus-Ridge area. For more information, you can visit the neighbourhood page at https://vancouver.ca/news-calendar/arbutus-ridge.aspx. The park is 0.09 hectares in size. It has facilities: No. Washrooms are available: No. You can view it on Google Maps at 49.247723, -123.168194."
"Where is Andy Livingstone Park located, and does it have facilities and washrooms?","Andy Livingstone Park is located at 89 Expo Boulevard, in the Downtown area. For more information, you can visit the neighbourhood page at https://vancouver.ca/news-calendar/downtown.aspx. The park is 4.21 hectares in size. It has facilities: Yes. Washrooms are available: Yes. You can view it on Google Maps at 49.278923, -123.1055."
"Where is Coopers' Park located, and does it have facilities and washrooms?","Coopers' Park is located at 1020 Marinaside Crescent, in the Downtown area. For more information, you can visit the neighbourhood page at https://vancouver.ca/news-calendar/downtown.aspx. The park is 1.71 hectares in size. It has facilities: Yes. Washrooms are available: No. You can view it on Google Maps at 49.273253, -123.1139."
"Where is Devonian Harbour Park located, and does it have facilities and washrooms?","Devonian Harbour Park is located at 1929 W Georgia Street, in the Downtown area. For more information, you can visit the neighbourhood page at https://vancouver.ca/news-calendar/downtown.aspx. The park is 4.42 hectares in size. It has facilities: Yes. Washrooms are available: No. You can view it on Google Maps at 49.294353, -123.134654."
"Where is Art Phillips Park located, and does it have facilities and washrooms?","Art Phillips Park is located at 625 Burrard Street, in the Downtown area. For more information, you can visit the neighbourhood page at https://vancouver.ca/news-calendar/downtown.aspx. The park is 0.1 hectares in size. It has facilities: No. Washrooms are available: No. You can view it on Google Maps at 49.285911, -123.120948."
"Where is Helmcken Park located, and does it have facilities and washrooms?","Helmcken Park is located at 1103 Pacific Boulevard, in the Downtown area. For more information, you can visit the neighbourhood page at https://vancouver.ca/news-calendar/downtown.aspx. The park is 0.17 hectares in size. It has facilities: No. Washrooms are available: No. You can view it on Google Maps at 49.274814, -123.119555."
"Where is May & Lorne Brown Park located, and does it have facilities and washrooms?","May & Lorne Brown Park is located at 801 Beach Avenue, in the Downtown area. For more information, you can visit the neighbourhood page at https://vancouver.ca/news-calendar/downtown.aspx. The park is 0.25 hectares in size. It has facilities: No. Washrooms are available: No. You can view it on Google Maps at 49.275188, -123.132046."
"Where is Chaldecott Park located, and does it have facilities and washrooms?","Chaldecott Park is located at 4175 Wallace Street, in the Dunbar-Southlands area. For more information, you can visit the neighbourhood page at https://vancouver.ca/news-calendar/dunbar-southlands.aspx. The park is 3.45 hectares in size. It has facilities: Yes. Washrooms are available: Yes. You can view it on Google Maps at 49.249092, -123.192177."
"Where is Valdez Park located, and does it have facilities and washrooms?","Valdez Park is located at 3210 W 22nd Avenue, in the Dunbar-Southlands area. For more information, you can visit the neighbourhood page at https://vancouver.ca/news-calendar/dunbar-southlands.aspx. The park is 0.77 hectares in size. It has facilities: Yes. Washrooms are available: No. You can view it on Google Maps at 49.252391, -123.1764."
"Where is Granville Loop Park located, and does it have facilities and washrooms?","Granville Loop Park is located at 1435 W 5th Avenue, in the Fairview area. For more information, you can visit the neighbourhood page at https://vancouver.ca/news-calendar/fairview.aspx. The park is 1.05 hectares in size. It has facilities: Yes. Washrooms are available: No. You can view it on Google Maps at 49.267284, -123.13754."
"Where is Willow Park located, and does it have facilities and washrooms?","Willow Park is located at 802 W 7th Avenue, in the Fairview area. For more information, you can visit the neighbourhood page at https://vancouver.ca/news-calendar/fairview.aspx. The park is 0.07 hectares in size. It has facilities: No. Washrooms are available: No. You can view it on Google Maps at 49.264868, -123.122031."
"Where is Alice Townley Park located, and does it have facilities and washrooms?","Alice Townley Park is located at 1775 Woodland Drive, in the Grandview-Woodland area. For more information, you can visit the neighbourhood page at https://vancouver.ca/news-calendar/grandview-woodland.aspx. The park is 0.22 hectares in size. It has facilities: No. Washrooms are available: No. You can view it on Google Maps at 49.268974, -123.073923."
"Where is Garden Park located, and does it have facilities and washrooms?","Garden Park is located at 1851 Garden Drive, in the Grandview-Woodland area. For more information, you can visit the neighbourhood page at https://vancouver.ca/news-calendar/grandview-woodland.aspx. The park is 0.97 hectares in size. It has facilities: Yes. Washrooms are available: Yes. You can view it on Google Maps at 49.268159, -123.058994."
"Where is Mosaic Creek Park located, and does it have facilities and washrooms?","Mosaic Creek Park is located at 1475 Charles Street, in the Grandview-Woodland area. For more information, you can visit the neighbourhood page at https://vancouver.ca/news-calendar/grandview-woodland.aspx. The park is 0.11 hectares in size. It has facilities: No. Washrooms are available: No. You can view it on Google Maps at 49.273323, -123.074121."
"Where is Templeton Park located, and does it have facilities and washrooms?","Templeton Park is located at 700 Templeton Drive, in the Grandview-Woodland area. For more information, you can visit the neighbourhood page at https://vancouver.ca/news-calendar/grandview-woodland.aspx. The park is 1.93 hectares in size. It has facilities: Yes. Washrooms are available: No. You can view it on Google Maps at 49.278279, -123.058646."
"Where is Adanac Park located, and does it have facilities and washrooms?","Adanac Park is located at 1025 Boundary Road, in the Hastings-Sunrise area. For more information, you can visit the neighbourhood page at https://vancouver.ca/news-calendar/hastings-sunrise.aspx. The park is 4.17 hectares in size. It has facilities: Yes. Washrooms are available: Yes. You can view it on Google Maps at 49.276381, -123.025811."
"Where is Bates Park located, and does it have facilities and washrooms?","Bates Park is located at 669 Fellowes Street, in the Hastings-Sunrise area. For more information, you can visit the neighbourhood page at https://vancouver.ca/news-calendar/hastings-sunrise.aspx. The park is 0.3 hectares in size. It has facilities: No. Washrooms are available: No. You can view it on Google Maps at 49.292443, -123.024336."
"Where is Callister Park located, and does it have facilities and washrooms?","Callister Park is located at 2875 Oxford Street, in the Hastings-Sunrise area. For more information, you can visit the neighbourhood page at https://vancouver.ca/news-calendar/hastings-sunrise.aspx. The park is 1.45 hectares in size. It has facilities: Yes. Washrooms are available: No. You can view it on Google Maps at 49.286214, -123.045363."
"Where is Clinton Park located, and does it have facilities and washrooms?","Clinton Park is located at 2690 Grant Street, in the Hastings-Sunrise area. For more information, you can visit the neighbourhood page at https://vancouver.ca/news-calendar/hastings-sunrise.aspx. The park is 3.04 hectares in size. It has facilities: Yes. Washrooms are available: Yes. You can view it on Google Maps at 49.270355, -123.0509."
"Where is Hastings Park located, and does it have facilities and washrooms?","Hastings Park is located at 2901 E Hastings, in the Hastings-Sunrise area. For more information, you can visit the neighbourhood page at https://vancouver.ca/news-calendar/hastings-sunrise.aspx. The park is 62.0 hectares in size. It has facilities: Yes. Washrooms are available: Yes. You can view it on Google Maps at 49.282256, -123.039776."
"Where is Thunderbird Park located, and does it have facilities and washrooms?","Thunderbird Park is located at 3485 E 2nd Avenue, in the Hastings-Sunrise area. For more information, you can visit the neighbourhood page at https://vancouver.ca/news-calendar/hastings-sunrise.aspx. The park is 0.89 hectares in size. It has facilities: Yes. Washrooms are available: No. You can view it on Google Maps at 49.268829, -123.028552."
"Where is Glen Park located, and does it have facilities and washrooms?","Glen Park is located at 3999 Glen Drive, in the Kensington-Cedar Cottage area. For more information, you can visit the neighbourhood page at https://vancouver.ca/news-calendar/kensington-cedar-cottage.aspx. The park is 1.09 hectares in size. It has facilities: Yes. Washrooms are available: No. You can view it on Google Maps at 49.249576, -123.082823."
"Where is John Hendry (Trout Lake) Park located, and does it have facilities and washrooms?","John Hendry (Trout Lake) Park is located at 3300 Victoria Drive, in the Kensington-Cedar Cottage area. For more information, you can visit the neighbourhood page at https://vancouver.ca/news-calendar/kensington-cedar-cottage.aspx. The park is 27.31 hectares in size. It has facilities: Yes. Washrooms are available: Yes. You can view it on Google Maps at 49.255808, -123.062242."
"Where is Jones Park located, and does it have facilities and washrooms?","Jones Park is located at 5350 Commercial Street, in the Kensington-Cedar Cottage area. For more information, you can visit the neighbourhood page at https://vancouver.ca/news-calendar/kensington-cedar-cottage.aspx. The park is 1.42 hectares in size. It has facilities: Yes. Washrooms are available: Yes. You can view it on Google Maps at 49.235945, -123.067051."
"Where is Malkin Park located, and does it have facilities and washrooms?","Malkin Park is located at 6001 Balaclava Street, in the Kerrisdale area. For more information, you can visit the neighbourhood page at https://vancouver.ca/news-calendar/kerrisdale.aspx. The park is 2.42 hectares in size. It has facilities: No. Washrooms are available: No. You can view it on Google Maps at 49.231959, -123.176845."
"Where is Maple Grove Park located, and does it have facilities and washrooms?","Maple Grove Park is located at 6875 Yew Street, in the Kerrisdale area. For more information, you can visit the neighbourhood page at https://vancouver.ca/news-calendar/kerrisdale.aspx. The park is 4.2 hectares in size. It has facilities: Yes. Washrooms are available: Yes. You can view it on Google Maps at 49.223703, -123.16013."
"Where is McCleery Golf Course located, and does it have facilities and washrooms?","McCleery Golf Course is located at 7188 Macdonald Street, in the Kerrisdale area. For more information, you can visit the neighbourhood page at https://vancouver.ca/news-calendar/kerrisdale.aspx. The park is 48.57 hectares in size. It has facilities: Yes. Washrooms are available: No. You can view it on Google Maps at 49.220813, -123.170066."
"Where is Captain Cook Park located, and does it have facilities and washrooms?","Captain Cook Park is located at 3398 E 54th Avenue, in the Killarney area. For more information, you can visit the neighbourhood page at https://vancouver.ca/news-calendar/killarney.aspx. The park is 5.49 hectares in size. It has facilities: Yes. Washrooms are available: No. You can view it on Google Maps at 49.21912, -123.033713."
"Where is Fraserview Golf Course located, and does it have facilities and washrooms?","Fraserview Golf Course is located at 7800 Vivian Drive, in the Killarney area. For more information, you can visit the neighbourhood page at https://vancouver.ca/news-calendar/killarney.aspx. The park is 84.34 hectares in size. It has facilities: Yes. Washrooms are available: Yes. You can view it on Google Maps at 49.212251, -123.047869."
"Where is Kinross Ravine Park located, and does it have facilities and washrooms?","Kinross Ravine Park is located at 3350 SE Marine Drive, in the Killarney area. For more information, you can visit the neighbourhood page at https://vancouver.ca/news-calendar/killarney.aspx. The park is 1.2 hectares in size. It has facilities: No. Washrooms are available: No. You can view it on Google Maps at 49.207509, -123.036128."
"Where is Hadden Park located, and does it have facilities and washrooms?","Hadden Park is located at 1905 Ogden Avenue, in the Kitsilano area. For more information, you can visit the neighbourhood page at https://vancouver.ca/news-calendar/kitsilano.aspx. The park is 2.92 hectares in size. It has facilities: Yes. Washrooms are available: Yes. You can view it on Google Maps at 49.275353, -123.152513."
"Where is Kitsilano Beach Park located, and does it have facilities and washrooms?","Kitsilano Beach Park is located at 1499 Arbutus Street, in the Kitsilano area. For more information, you can visit the neighbourhood page at https://vancouver.ca/news-calendar/kitsilano.aspx. The park is 13.47 hectares in size. It has facilities: Yes. Washrooms are available: Yes. You can view it on Google Maps at 49.273431, -123.153901."
"Where is Margaret Pigott Park located, and does it have facilities and washrooms?","Margaret Pigott Park is located at 2743 Point Grey Road, in the Kitsilano area. For more information, you can visit the neighbourhood page at https://vancouver.ca/news-calendar/kitsilano.aspx. The park is 0.38 hectares in size. It has facilities: No. Washrooms are available: No. You can view it on Google Maps at 49.272089, -123.167454."
"Where is Point Grey Park Site at Stephens Street located, and does it have facilities and washrooms?","Point Grey Park Site at Stephens Street is located at 2699 Point Grey Road, in the Kitsilano area. For more information, you can visit the neighbourhood page at https://vancouver.ca/news-calendar/kitsilano.aspx. The park is 0.23 hectares in size. It has facilities: No. Washrooms are available: No. You can view it on Google Maps at 49.272583, -123.166128."
"Where is Point Grey Park Site at Trafalgar Street located, and does it have facilities and washrooms?","Point Grey Park Site at Trafalgar Street is located at 2601 Point Grey Road, in the Kitsilano area. For more information, you can visit the neighbourhood page at https://vancouver.ca/news-calendar/kitsilano.aspx. The park is 0.22 hectares in size. It has facilities: No. Washrooms are available: No. You can view it on Google Maps at 49.273329, -123.164637."
"Where is Vanier Park located, and does it have facilities and washrooms?","Vanier Park is located at 1000 Chestnut Street, in the Kitsilano area. For more information, you can visit the neighbourhood page at https://vancouver.ca/news-calendar/kitsilano.aspx. The park is 16.95 hectares in size. It has facilities: No. Washrooms are available: Yes. You can view it on Google Maps at 49.277049, -123.143159."
"Where is Volunteer Park located, and does it have facilities and washrooms?","Volunteer Park is located at 2855 Point Grey Road, in the Kitsilano area. For more information, you can visit the neighbourhood page at https://vancouver.ca/news-calendar/kitsilano.aspx. The park is 0.72 hectares in size. It has facilities: No. Washrooms are available: No. You can view it on Google Maps at 49.271635, -123.169243."
"Where is Oak Park located, and does it have facilities and washrooms?","Oak Park is located at 900 W 59th Avenue, in the Marpole area. For more information, you can visit the neighbourhood page at https://vancouver.ca/news-calendar/marpole.aspx. The park is 5.25 hectares in size. It has facilities: Yes. Washrooms are available: Yes. You can view it on Google Maps at 49.215497, -123.128319."
"Where is Jonathan Rogers Park located, and does it have facilities and washrooms?","Jonathan Rogers Park is located at 110 W 7th Avenue, in the Mount Pleasant area. For more information, you can visit the neighbourhood page at https://vancouver.ca/news-calendar/mount-pleasant.aspx. The park is 1.4 hectares in size. It has facilities: Yes. Washrooms are available: Yes. You can view it on Google Maps at 49.264334, -123.108174."
"Where is Beaconsfield Park located, and does it have facilities and washrooms?","Beaconsfield Park is located at 3215 Slocan Street, in the Renfrew-Collingwood area. For more information, you can visit the neighbourhood page at https://vancouver.ca/news-calendar/renfrew.aspx. The park is 4.43 hectares in size. It has facilities: Yes. Washrooms are available: Yes. You can view it on Google Maps at 49.255546, -123.051302."
"Where is Melbourne Park located, and does it have facilities and washrooms?","Melbourne Park is located at 3530 Vanness Avenue, in the Renfrew-Collingwood area. For more information, you can visit the neighbourhood page at https://vancouver.ca/news-calendar/renfrew.aspx. The park is 0.49 hectares in size. It has facilities: Yes. Washrooms are available: No. You can view it on Google Maps at 49.236236, -123.029179."
"Where is Renfrew Community Park located, and does it have facilities and washrooms?","Renfrew Community Park is located at 2929 E 22nd Avenue, in the Renfrew-Collingwood area. For more information, you can visit the neighbourhood page at https://vancouver.ca/news-calendar/renfrew.aspx. The park is 5.0 hectares in size. It has facilities: Yes. Washrooms are available: No. You can view it on Google Maps at 49.252129, -123.042896."
"Where is Cartier Park located, and does it have facilities and washrooms?","Cartier Park is located at 390 E 36th Avenue, in the Riley Park area. For more information, you can visit the neighbourhood page at https://vancouver.ca/news-calendar/renfrew.aspx. The park is 0.37 hectares in size. It has facilities: Yes. Washrooms are available: No. You can view it on Google Maps at 49.237598, -123.097473."
"Where is Nat Bailey Stadium located, and does it have facilities and washrooms?","Nat Bailey Stadium is located at 4601 Ontario Street, in the Riley Park area. For more information, you can visit the neighbourhood page at https://vancouver.ca/news-calendar/renfrew.aspx. The park is 6.21 hectares in size. It has facilities: Yes. Washrooms are available: No. You can view it on Google Maps at 49.242653, -123.106679."
"Where is Shaughnessy Park located, and does it have facilities and washrooms?","Shaughnessy Park is located at 1300 The Crescent, in the Shaughnessy area. For more information, you can visit the neighbourhood page at https://vancouver.ca/news-calendar/shaughnessy.aspx. The park is 1.45 hectares in size. It has facilities: No. Washrooms are available: No. You can view it on Google Maps at 49.255715, -123.135068."
"Where is Oppenheimer Park located, and does it have facilities and washrooms?","Oppenheimer Park is located at 400 Powell Street, in the Strathcona area. For more information, you can visit the neighbourhood page at https://vancouver.ca/news-calendar/strathcona.aspx. The park is 1.0 hectares in size. It has facilities: Yes. Washrooms are available: Yes. You can view it on Google Maps at 49.282645, -123.094313."
"Where is MacDonald Park located, and does it have facilities and washrooms?","MacDonald Park is located at 300 E 44th Avenue, in the Sunset area. For more information, you can visit the neighbourhood page at https://vancouver.ca/news-calendar/sunset.aspx. The park is 1.05 hectares in size. It has facilities: Yes. Washrooms are available: No. You can view it on Google Maps at 49.229748, -123.098396."
"Where is Moberly Park located, and does it have facilities and washrooms?","Moberly Park is located at 7646 Prince Albert Street, in the Sunset area. For more information, you can visit the neighbourhood page at https://vancouver.ca/news-calendar/sunset.aspx. The park is 3.6 hectares in size. It has facilities: Yes. Washrooms are available: Yes. You can view it on Google Maps at 49.215602, -123.086219."
"Where is Sunset Park located, and does it have facilities and washrooms?","Sunset Park is located at 404 E 51st Avenue, in the Sunset area. For more information, you can visit the neighbourhood page at https://vancouver.ca/news-calendar/sunset.aspx. The park is 3.42 hectares in size. It has facilities: Yes. Washrooms are available: No. You can view it on Google Maps at 49.222561, -123.096916."
"Where is Bobolink Park located, and does it have facilities and washrooms?","Bobolink Park is located at 2510 Hoylake Avenue, in the Victoria-Fraserview area. For more information, you can visit the neighbourhood page at https://vancouver.ca/news-calendar/victoria-fraserview.aspx. The park is 3.82 hectares in size. It has facilities: Yes. Washrooms are available: Yes. You can view it on Google Maps at 49.215075, -123.057615."
"Where is Tecumseh Park located, and does it have facilities and washrooms?","Tecumseh Park is located at 1751 E 45th Avenue, in the Victoria-Fraserview area. For more information, you can visit the neighbourhood page at https://vancouver.ca/news-calendar/victoria-fraserview.aspx. The park is 2.09 hectares in size. It has facilities: Yes. Washrooms are available: No. You can view it on Google Maps at 49.229752, -123.069846."
"Where is Morton Park located, and does it have facilities and washrooms?","Morton Park is located at 1800 Morton Avenue, in the West End area. For more information, you can visit the neighbourhood page at https://vancouver.ca/news-calendar/west-end.aspx. The park is 0.22 hectares in size. It has facilities: No. Washrooms are available: No. You can view it on Google Maps at 49.28768, -123.141955."
"Where is Nelson Park located, and does it have facilities and washrooms?","Nelson Park is located at 1030 Bute Street, in the West End area. For more information, you can visit the neighbourhood page at https://vancouver.ca/news-calendar/west-end.aspx. The park is 1.16 hectares in size. It has facilities: Yes. Washrooms are available: No. You can view it on Google Maps at 49.282855, -123.129558."
"Where is Stanley Park located, and does it have facilities and washrooms?","Stanley Park is located at 2000 W Georgia Street, in the West End area. For more information, you can visit the neighbourhood page at https://vancouver.ca/news-calendar/west-end.aspx. The park is 400.0 hectares in size. It has facilities: Yes. Washrooms are available: Yes. You can view it on Google Maps at 49.302701, -123.144307."
"Where is Spanish Banks Beach Park located, and does it have facilities and washrooms?","Spanish Banks Beach Park is located at 4801 NW Marine Drive, in the West Point Grey area. For more information, you can visit the neighbourhood page at https://vancouver.ca/news-calendar/point-grey.aspx. The park is 6.53 hectares in size. It has facilities: Yes. Washrooms are available: Yes. You can view it on Google Maps at 49.277063, -123.216909."
"Where is West Point Grey Park located, and does it have facilities and washrooms?","West Point Grey Park is located at 2250 Trimble Street, in the West Point Grey area. For more information, you can visit the neighbourhood page at https://vancouver.ca/news-calendar/point-grey.aspx. The park is 3.4 hectares in size. It has facilities: Yes. Washrooms are available: Yes. You can view it on Google Maps at 49.266301, -123.204312."
"Where is Westmount Park located, and does it have facilities and washrooms?","Westmount Park is located at 4651 W 2nd Avenue, in the West Point Grey area. For more information, you can visit the neighbourhood page at https://vancouver.ca/news-calendar/point-grey.aspx. The park is 0.4 hectares in size. It has facilities: Yes. Washrooms are available: No. You can view it on Google Maps at 49.271852, -123.214423."
"Where is Oak Meadows Park located, and does it have facilities and washrooms?","Oak Meadows Park is located at 899 W 37th Avenue, in the South Cambie area. For more information, you can visit the neighbourhood page at https://vancouver.ca/news-calendar/south-cambie.aspx. The park is 5.0 hectares in size. It has facilities: Yes. Washrooms are available: No. You can view it on Google Maps at 49.238445, -123.125795."
"Where is Aberdeen Park located, and does it have facilities and washrooms?","Aberdeen Park is located at 3525 Foster Avenue, in the Renfrew-Collingwood area. For more information, you can visit the neighbourhood page at https://vancouver.ca/news-calendar/renfrew.aspx. The park is 1.0 hectares in size. It has facilities: Yes. Washrooms are available: No. You can view it on Google Maps at 49.234765, -123.027446."
"Where is Ebisu Park located, and does it have facilities and washrooms?","Ebisu Park is located at 8810 Olser Street, in the Marpole area. For more information, you can visit the neighbourhood page at https://vancouver.ca/news-calendar/marpole.aspx. The park is 0.4 hectares in size. It has facilities: Yes. Washrooms are available: No. You can view it on Google Maps at 49.205468, -123.132836."
"Where is Carolina Park located, and does it have facilities and washrooms?","Carolina Park is located at 2100 Carolina Street, in the Mount Pleasant area. For more information, you can visit the neighbourhood page at https://vancouver.ca/news-calendar/mount-pleasant.aspx. The park is 0.08 hectares in size. It has facilities: No. Washrooms are available: No. You can view it on Google Maps at 49.266401, -123.090778."
"Where is Habitat Island located, and does it have facilities and washrooms?","Habitat Island is located at 1616 Columbia Street, in the Mount Pleasant area. For more information, you can visit the neighbourhood page at https://vancouver.ca/news-calendar/mount-pleasant.aspx. The park is 0.6 hectares in size. It has facilities: No. Washrooms are available: No. You can view it on Google Maps at 49.27221, -123.110791."
"Where is Creekway Park located, and does it have facilities and washrooms?","Creekway Park is located at 2901 E Hastings Street, in the Hastings-Sunrise area. For more information, you can visit the neighbourhood page at https://vancouver.ca/news-calendar/hastings-sunrise.aspx. The park is 8.0 hectares in size. It has facilities: No. Washrooms are available: No. You can view it on Google Maps at 49.288336, -123.036982."
"Where is Prince of Wales Park located, and does it have facilities and washrooms?","Prince of Wales Park is located at 4780 Haggart Street, in the Arbutus-Ridge area. For more information, you can visit the neighbourhood page at https://vancouver.ca/news-calendar/arbutus-ridge.aspx. The park is 2.89 hectares in size. It has facilities: Yes. Washrooms are available: No. You can view it on Google Maps at 49.244397, -123.156429."
"Where is Quilchena Park located, and does it have facilities and washrooms?","Quilchena Park is located at 4590 Magnolia Street, in the Arbutus-Ridge area. For more information, you can visit the neighbourhood page at https://vancouver.ca/news-calendar/arbutus-ridge.aspx. The park is 7.67 hectares in size. It has facilities: Yes. Washrooms are available: Yes. You can view it on Google Maps at 49.24369, -123.148865."
"Where is Trafalgar Park located, and does it have facilities and washrooms?","Trafalgar Park is located at 2610 W 23rd Avenue, in the Arbutus-Ridge area. For more information, you can visit the neighbourhood page at https://vancouver.ca/news-calendar/arbutus-ridge.aspx. The park is 4.85 hectares in size. It has facilities: Yes. Washrooms are available: Yes. You can view it on Google Maps at 49.25046, -123.161879."
"Where is Cathedral Square located, and does it have facilities and washrooms?","Cathedral Square is located at 566 Richards Street, in the Downtown area. For more information, you can visit the neighbourhood page at https://vancouver.ca/news-calendar/downtown.aspx. The park is 0.27 hectares in size. It has facilities: No. Washrooms are available: No. You can view it on Google Maps at 49.282084, -123.113877."
"Where is Coal Harbour Park located, and does it have facilities and washrooms?","Coal Harbour Park is located at 480 Broughton Street, in the Downtown area. For more information, you can visit the neighbourhood page at https://vancouver.ca/news-calendar/downtown.aspx. The park is 0.95 hectares in size. It has facilities: Yes. Washrooms are available: No. You can view it on Google Maps at 49.289981, -123.125015."
"Where is Creekside Park located, and does it have facilities and washrooms?","Creekside Park is located at 1455 Quebec Street, in the Downtown area. For more information, you can visit the neighbourhood page at https://vancouver.ca/news-calendar/downtown.aspx. The park is 2.53 hectares in size. It has facilities: Yes. Washrooms are available: No. You can view it on Google Maps at 49.274415, -123.102924."
"Where is David Lam Park located, and does it have facilities and washrooms?","David Lam Park is located at 1300 Pacific Boulevard, in the Downtown area. For more information, you can visit the neighbourhood page at https://vancouver.ca/news-calendar/downtown.aspx. The park is 4.34 hectares in size. It has facilities: Yes. Washrooms are available: Yes. You can view it on Google Maps at 49.272569, -123.124145."
"Where is Emery Barnes Park located, and does it have facilities and washrooms?","Emery Barnes Park is located at 1170 Richards Street, in the Downtown area. For more information, you can visit the neighbourhood page at https://vancouver.ca/news-calendar/downtown.aspx. The park is 0.85 hectares in size. It has facilities: Yes. Washrooms are available: No. You can view it on Google Maps at 49.276458, -123.123995."
"Where is Portal Park located, and does it have facilities and washrooms?","Portal Park is located at 1099 W Hastings Street, in the Downtown area. For more information, you can visit the neighbourhood page at https://vancouver.ca/news-calendar/downtown.aspx. The park is 0.1 hectares in size. It has facilities: No. Washrooms are available: No. You can view it on Google Maps at 49.288042, -123.119169."
"Where is Roundhouse Turntable Plaza located, and does it have facilities and washrooms?","Roundhouse Turntable Plaza is located at 181 Roundhouse Mews, in the Downtown area. For more information, you can visit the neighbourhood page at https://vancouver.ca/news-calendar/downtown.aspx. The park is 0.91 hectares in size. It has facilities: Yes. Washrooms are available: No. You can view it on Google Maps at 49.273379, -123.121603."
