question,answer
Where is Arbutus Village Park located?,Arbutus Village Park is located at 4202 Valley Drive.
In which neighbourhood is Arbutus Village Park located?,Arbutus Village Park is in the Arbutus-Ridge neighbourhood.
How big is Arbutus Village Park in hectares?,Arbutus Village Park is 1.41 hectares in size.
Does Arbutus Village Park have facilities?,"Yes, Arbutus Village Park has facilities."
Does Arbutus Village Park have washrooms?,"No, Arbutus Village Park has washrooms."
Are there any advisories for Arbutus Village Park?,"No, there are advisories for Arbutus Village Park."
Does Arbutus Village Park have any special features?,"No, Arbutus Village Park has special features."
Where can I find more information about Arbutus-Ridge?,You can learn more about Arbutus-Ridge at: https://vancouver.ca/news-calendar/arbutus-ridge.aspx
Where is Arbutus Village Park located on the map?,Arbutus Village Park is located at latitude 49.249783 and longitude -123.15525.
Where is Park Site on Puget Drive located?,Park Site on Puget Drive is located at 4309 Puget Drive.
In which neighbourhood is Park Site on Puget Drive located?,Park Site on Puget Drive is in the Arbutus-Ridge neighbourhood.
How big is Park Site on Puget Drive in hectares?,Park Site on Puget Drive is 0.09 hectares in size.
Does Park Site on Puget Drive have facilities?,"No, Park Site on Puget Drive has facilities."
Does Park Site on Puget Drive have washrooms?,"No, Park Site on Puget Drive has washrooms."
Are there any advisories for Park Site on Puget Drive?,"No, there are advisories for Park Site on Puget Drive."
Does Park Site on Puget Drive have any special features?,"No, Park Site on Puget Drive has special features."
Where can I find more information about Arbutus-Ridge?,You can learn more about Arbutus-Ridge at: https://vancouver.ca/news-calendar/arbutus-ridge.aspx
Where is Park Site on Puget Drive located on the map?,Park Site on Puget Drive is located at latitude 49.247723 and longitude -123.168194.
Where is Andy Livingstone Park located?,Andy Livingstone Park is located at 89 Expo Boulevard.
In which neighbourhood is Andy Livingstone Park located?,Andy Livingstone Park is in the Downtown neighbourhood.
How big is Andy Livingstone Park in hectares?,Andy Livingstone Park is 4.21 hectares in size.
Does Andy Livingstone Park have facilities?,"Yes, Andy Livingstone Park has facilities."
Does Andy Livingstone Park have washrooms?,"Yes, Andy Livingstone Park has washrooms."
Are there any advisories for Andy Livingstone Park?,"No, there are advisories for Andy Livingstone Park."
Does Andy Livingstone Park have any special features?,"No, Andy Livingstone Park has special features."
Where can I find more information about Downtown?,You can learn more about Downtown at: https://vancouver.ca/news-calendar/downtown.aspx
Where is Andy Livingstone Park located on the map?,Andy Livingstone Park is located at latitude 49.278923 and longitude -123.1055.
Where is Coopers' Park located?,Coopers' Park is located at 1020 Marinaside Crescent.
In which neighbourhood is Coopers' Park located?,Coopers' Park is in the Downtown neighbourhood.
How big is Coopers' Park in hectares?,Coopers' Park is 1.71 hectares in size.
Does Coopers' Park have facilities?,"Yes, Coopers' Park has facilities."
Does Coopers' Park have washrooms?,"No, Coopers' Park has washrooms."
Are there any advisories for Coopers' Park?,"No, there are advisories for Coopers' Park."
Does Coopers' Park have any special features?,"Yes, Coopers' Park has special features."
Where can I find more information about Downtown?,You can learn more about Downtown at: https://vancouver.ca/news-calendar/downtown.aspx
Where is Coopers' Park located on the map?,Coopers' Park is located at latitude 49.273253 and longitude -123.1139.
Where is Devonian Harbour Park located?,Devonian Harbour Park is located at 1929 W Georgia Street.
In which neighbourhood is Devonian Harbour Park located?,Devonian Harbour Park is in the Downtown neighbourhood.
How big is Devonian Harbour Park in hectares?,Devonian Harbour Park is 4.42 hectares in size.
Does Devonian Harbour Park have facilities?,"Yes, Devonian Harbour Park has facilities."
Does Devonian Harbour Park have washrooms?,"No, Devonian Harbour Park has washrooms."
Are there any advisories for Devonian Harbour Park?,"No, there are advisories for Devonian Harbour Park."
Does Devonian Harbour Park have any special features?,"Yes, Devonian Harbour Park has special features."
Where can I find more information about Downtown?,You can learn more about Downtown at: https://vancouver.ca/news-calendar/downtown.aspx
Where is Devonian Harbour Park located on the map?,Devonian Harbour Park is located at latitude 49.294353 and longitude -123.134654.
Where is Art Phillips Park located?,Art Phillips Park is located at 625 Burrard Street.
In which neighbourhood is Art Phillips Park located?,Art Phillips Park is in the Downtown neighbourhood.
How big is Art Phillips Park in hectares?,Art Phillips Park is 0.1 hectares in size.
Does Art Phillips Park have facilities?,"No, Art Phillips Park has facilities."
Does Art Phillips Park have washrooms?,"No, Art Phillips Park has washrooms."
Are there any advisories for Art Phillips Park?,"No, there are advisories for Art Phillips Park."
Does Art Phillips Park have any special features?,"No, Art Phillips Park has special features."
Where can I find more information about Downtown?,You can learn more about Downtown at: https://vancouver.ca/news-calendar/downtown.aspx
Where is Art Phillips Park located on the map?,Art Phillips Park is located at latitude 49.285911 and longitude -123.120948.
Where is Helmcken Park located?,Helmcken Park is located at 1103 Pacific Boulevard.
In which neighbourhood is Helmcken Park located?,Helmcken Park is in the Downtown neighbourhood.
How big is Helmcken Park in hectares?,Helmcken Park is 0.17 hectares in size.
Does Helmcken Park have facilities?,"No, Helmcken Park has facilities."
Does Helmcken Park have washrooms?,"No, Helmcken Park has washrooms."
Are there any advisories for Helmcken Park?,"No, there are advisories for Helmcken Park."
Does Helmcken Park have any special features?,"No, Helmcken Park has special features."
Where can I find more information about Downtown?,You can learn more about Downtown at: https://vancouver.ca/news-calendar/downtown.aspx
Where is Helmcken Park located on the map?,Helmcken Park is located at latitude 49.274814 and longitude -123.119555.
Where is May & Lorne Brown Park located?,May & Lorne Brown Park is located at 801 Beach Avenue.
In which neighbourhood is May & Lorne Brown Park located?,May & Lorne Brown Park is in the Downtown neighbourhood.
How big is May & Lorne Brown Park in hectares?,May & Lorne Brown Park is 0.25 hectares in size.
Does May & Lorne Brown Park have facilities?,"No, May & Lorne Brown Park has facilities."
Does May & Lorne Brown Park have washrooms?,"No, May & Lorne Brown Park has washrooms."
Are there any advisories for May & Lorne Brown Park?,"No, there are advisories for May & Lorne Brown Park."
Does May & Lorne Brown Park have any special features?,"No, May & Lorne Brown Park has special features."
Where can I find more information about Downtown?,You can learn more about Downtown at: https://vancouver.ca/news-calendar/downtown.aspx
Where is May & Lorne Brown Park located on the map?,May & Lorne Brown Park is located at latitude 49.275188 and longitude -123.132046.
Where is Chaldecott Park located?,Chaldecott Park is located at 4175 Wallace Street.
In which neighbourhood is Chaldecott Park located?,Chaldecott Park is in the Dunbar-Southlands neighbourhood.
How big is Chaldecott Park in hectares?,Chaldecott Park is 3.45 hectares in size.
Does Chaldecott Park have facilities?,"Yes, Chaldecott Park has facilities."
Does Chaldecott Park have washrooms?,"Yes, Chaldecott Park has washrooms."
Are there any advisories for Chaldecott Park?,"No, there are advisories for Chaldecott Park."
Does Chaldecott Park have any special features?,"No, Chaldecott Park has special features."
Where can I find more information about Dunbar-Southlands?,You can learn more about Dunbar-Southlands at: https://vancouver.ca/news-calendar/dunbar-southlands.aspx
Where is Chaldecott Park located on the map?,Chaldecott Park is located at latitude 49.249092 and longitude -123.192177.
Where is Valdez Park located?,Valdez Park is located at 3210 W 22nd Avenue.
In which neighbourhood is Valdez Park located?,Valdez Park is in the Dunbar-Southlands neighbourhood.
How big is Valdez Park in hectares?,Valdez Park is 0.77 hectares in size.
Does Valdez Park have facilities?,"Yes, Valdez Park has facilities."
Does Valdez Park have washrooms?,"No, Valdez Park has washrooms."
Are there any advisories for Valdez Park?,"No, there are advisories for Valdez Park."
Does Valdez Park have any special features?,"No, Valdez Park has special features."
Where can I find more information about Dunbar-Southlands?,You can learn more about Dunbar-Southlands at: https://vancouver.ca/news-calendar/dunbar-southlands.aspx
Where is Valdez Park located on the map?,Valdez Park is located at latitude 49.252391 and longitude -123.1764.
Where is Granville Loop Park located?,Granville Loop Park is located at 1435 W 5th Avenue.
In which neighbourhood is Granville Loop Park located?,Granville Loop Park is in the Fairview neighbourhood.
How big is Granville Loop Park in hectares?,Granville Loop Park is 1.05 hectares in size.
Does Granville Loop Park have facilities?,"Yes, Granville Loop Park has facilities."
Does Granville Loop Park have washrooms?,"No, Granville Loop Park has washrooms."
Are there any advisories for Granville Loop Park?,"No, there are advisories for Granville Loop Park."
Does Granville Loop Park have any special features?,"No, Granville Loop Park has special features."
Where can I find more information about Fairview?,You can learn more about Fairview at: https://vancouver.ca/news-calendar/fairview.aspx
Where is Granville Loop Park located on the map?,Granville Loop Park is located at latitude 49.267284 and longitude -123.13754.
Where is Willow Park located?,Willow Park is located at 802 W 7th Avenue.
In which neighbourhood is Willow Park located?,Willow Park is in the Fairview neighbourhood.
How big is Willow Park in hectares?,Willow Park is 0.07 hectares in size.
Does Willow Park have facilities?,"No, Willow Park has facilities."
